order,subset,subset_str,target_index,target,ei_joint,ei_joint_raw,bias_correction,delta_K,null_mean,null_std,z,p_empirical
2,"[16, 35]","16,35",19,component_20,0.035115850473162666,0.035115850473162666,0.0002443195699983747,-1.9901508773456644e-05,-1.9358919009861717e-05,3.284118297201034e-05,-0.0165216266435153,0.38095238095238093
2,"[16, 35]","16,35",20,component_21,0.01589779126824738,0.01589779126824738,0.0002443195699983747,-9.130165636688295e-05,-1.6738396790066032e-05,3.4093943569664074e-05,-2.186994280214666,0.14285714285714285
2,"[16, 35]","16,35",21,component_22,0.009455637300125348,0.009455637300125348,0.0002443195699983747,7.06946092859425e-05,-2.7709147498542848e-05,4.505619553687701e-05,2.184022765613779,0.23809523809523808
2,"[16, 35]","16,35",23,component_24,0.012983438756036756,0.012983438756036756,0.0002443195699983747,-8.852710378058626e-06,-1.9091085877509945e-05,3.81199556361482e-05,0.26858309063042357,0.2857142857142857
2,"[16, 35]","16,35",25,component_26,0.015792752810183802,0.015792752810183802,0.0002443195699983747,-4.350561552132065e-05,-1.77785246792251e-05,3.279016045945246e-05,-0.7845978940514509,0.2857142857142857
2,"[16, 35]","16,35",29,component_30,0.009871865510136094,0.009871865510136094,0.0002443195699983747,-1.7345496786395215e-05,-3.042750629030321e-05,4.2486054611263157e-05,0.3079130228402032,0.42857142857142855
2,"[16, 35]","16,35",31,component_32,0.016953903152504172,0.016953903152504172,0.0002443195699983747,3.2501864171405326e-05,-4.1992327368855074e-05,4.216198298469945e-05,1.7668569233874576,0.38095238095238093
2,"[16, 35]","16,35",32,component_33,0.016286004797329258,0.016286004797329258,0.0002443195699983747,0.000157672564367866,-2.5848511259347538e-05,4.154565569055166e-05,4.417334919303007,0.047619047619047616
2,"[16, 35]","16,35",36,component_37,0.015311974311750468,0.015311974311750468,0.0002443195699983747,5.3747439387151486e-06,-3.190652366531858e-05,4.4799340858100096e-05,0.8321833957807655,0.42857142857142855
2,"[16, 35]","16,35",39,component_40,0.009728688435549904,0.009728688435549904,0.0002443195699983747,-1.8497535547057353e-05,-2.3552181312473184e-05,3.2797446797961196e-05,0.1541170505299835,0.42857142857142855
2,"[16, 35]","16,35",40,component_41,0.02068766113079836,0.02068766113079836,0.0002443195699983747,2.4123579836478337e-05,-4.3916587838911084e-05,5.4459977882005014e-05,1.2493609127570295,0.42857142857142855
2,"[16, 35]","16,35",43,component_44,0.017873642677302605,0.017873642677302605,0.0002443195699983747,3.4659436296557294e-05,-3.54656533595683e-05,4.6972540086126236e-05,1.4928954135234784,0.38095238095238093
2,"[16, 35]","16,35",45,component_46,0.009239700511551817,0.009239700511551817,0.0002443195699983747,1.809304189815883e-05,-2.5329676985893476e-05,4.2759098545824816e-05,1.0155199796253023,0.3333333333333333
2,"[16, 35]","16,35",47,component_48,0.01652741819819519,0.01652741819819519,0.0002443195699983747,8.884279256822503e-05,-1.5270745818063803e-05,3.419390457169057e-05,3.044798179394971,0.14285714285714285
2,"[16, 35]","16,35",57,component_58,0.021287848656701656,0.021287848656701656,0.0002443195699983747,0.00022352266914580157,-1.0581852959844513e-05,2.8058126437480136e-05,8.343555034841119,0.047619047619047616
2,"[18, 24]","18,24",0,component_01,0.01394023502293651,0.01394023502293651,0.0002443195699983747,0.00014664999157053792,-1.483905740699608e-05,3.16092614537161e-05,5.1089156010175865,0.047619047619047616
2,"[18, 24]","18,24",1,component_02,0.02761712823405408,0.02761712823405408,0.0002443195699983747,0.00039932189543815527,-2.00511817859579e-05,3.472639446838585e-05,12.076493504268093,0.047619047619047616
2,"[18, 24]","18,24",2,component_03,0.02235889376081731,0.02235889376081731,0.0002443195699983747,-7.6441035827636e-05,-2.4280934862440496e-05,3.65658715113838e-05,-1.4264695140373413,0.14285714285714285
2,"[18, 24]","18,24",6,component_07,0.01798625222512146,0.01798625222512146,0.0002443195699983747,-8.327985724033635e-05,-2.3816824389379458e-05,3.5753861931337916e-05,-1.6631219577104792,0.14285714285714285
2,"[18, 24]","18,24",7,component_08,0.04367651189908218,0.04367651189908218,0.0002443195699983747,0.0015575304789975375,-2.8390870359361928e-05,3.8811759113270404e-05,40.86187757500138,0.047619047619047616
2,"[18, 24]","18,24",10,component_11,0.015431626531137707,0.015431626531137707,0.0002443195699983747,-7.873896006328589e-05,-2.4730327655940573e-05,3.8717997019730815e-05,-1.3949232027633645,0.23809523809523808
2,"[18, 24]","18,24",12,component_13,0.020761123143389085,0.020761123143389085,0.0002443195699983747,-8.911367453811811e-05,-1.840921731114751e-05,3.412585100372791e-05,-2.071873818450618,0.14285714285714285
2,"[18, 24]","18,24",14,component_15,0.06817731223230367,0.06817731223230367,0.0002443195699983747,-8.818918142299015e-05,-1.460457308012825e-05,3.6448058727741746e-05,-2.0188896449196725,0.14285714285714285
2,"[18, 24]","18,24",16,component_17,0.04400694489911801,0.04400694489911801,0.0002443195699983747,-0.00010031692784656654,-1.8604224413078503e-05,3.8192702298005174e-05,-2.139484731818935,0.09523809523809523
2,"[18, 24]","18,24",17,component_18,0.01619002186220162,0.01619002186220162,0.0002443195699983747,-9.831798808961761e-05,-3.381534382392136e-05,4.254455504631415e-05,-1.516119846487487,0.14285714285714285
