source,target,source_index,target_index,ei
component_52,component_40,51,39,0.009497763332133147
component_22,component_51,21,50,0.009496274045698083
component_33,component_04,32,3,0.009493452128636726
component_48,component_06,47,5,0.009488697531786272
component_32,component_50,31,49,0.009488056535050582
component_33,component_45,32,44,0.009487063418489594
component_54,component_04,53,3,0.009483848660306826
component_16,component_29,15,28,0.009481827115322083
component_41,component_07,40,6,0.009480655435050611
component_52,component_57,51,56,0.009479735976823278
component_42,component_58,41,57,0.00947951518464718
component_42,component_38,41,37,0.00947627696020037
component_44,component_05,43,4,0.00947547321243114
component_29,component_54,28,53,0.009475066441630542
component_06,component_35,5,34,0.00946915321659425
component_24,component_33,23,32,0.009468759842097718
component_37,component_57,36,56,0.009467683607373711
component_51,component_13,50,12,0.009467102431653718
component_10,component_48,9,47,0.009466932488489288
component_42,component_45,41,44,0.009459992311671606
component_29,component_05,28,4,0.009454077744575073
component_23,component_56,22,55,0.009452878014080124
component_32,component_46,31,45,0.009452705216856927
component_15,component_34,14,33,0.009451499278138709
component_41,component_51,40,50,0.009449685663301732
component_56,component_26,55,25,0.009449619991054536
component_51,component_28,50,27,0.009448505888767222
component_32,component_26,31,25,0.009445759650110297
component_32,component_39,31,38,0.009445053297957529
component_35,component_53,34,52,0.009440773992578144
component_42,component_49,41,48,0.009440597178717702
component_56,component_33,55,32,0.009439612025512467
component_38,component_49,37,48,0.009433245129269796
component_31,component_17,30,16,0.009432585044657493
component_35,component_18,34,17,0.009429674605731186
component_10,component_45,9,44,0.009426616339980765
component_42,component_12,41,11,0.00942494313407849
component_28,component_50,27,49,0.00942356668437938
component_53,component_58,52,57,0.009421004881745798
component_41,component_20,40,19,0.009419236107607087
component_11,component_26,10,25,0.009418998352943575
component_02,component_47,1,46,0.009418568280404216
component_12,component_33,11,32,0.00941820739176169
component_41,component_09,40,8,0.009415077041045272
component_24,component_02,23,1,0.009413824226562006
component_55,component_12,54,11,0.009412266148689064
component_56,component_39,55,38,0.009405625034410114
component_49,component_15,48,14,0.009405054821589598
component_43,component_06,42,5,0.009404252640003552
component_27,component_09,26,8,0.009403572877826338
component_21,component_60,20,59,0.009399906126700053
component_45,component_07,44,6,0.009397485517832926
component_26,component_05,25,4,0.009396337384449005
component_12,component_05,11,4,0.009396172035348815
component_04,component_06,3,5,0.009395390867519282
component_46,component_42,45,41,0.009395109524066303
component_51,component_54,50,53,0.009391436683475085
component_25,component_37,24,36,0.009391084517139436
component_18,component_41,17,40,0.00939030187541956
component_58,component_17,57,16,0.009387190813975987
component_02,component_31,1,30,0.00938561999279175
component_44,component_38,43,37,0.009384484024532291
component_06,component_50,5,49,0.009383210471131331
component_58,component_08,57,7,0.009381772377563546
component_03,component_15,2,14,0.009381611951015056
component_57,component_44,56,43,0.00938094977218773
component_50,component_09,49,8,0.00938070263477897
