split,component,rmse,mae,corr
val,component_34,0.7784769774584049,0.6262976232999233,0.3721955052885015
val,component_35,0.7233188642259086,0.5695395698761139,0.3785392188430995
val,component_36,0.698157513418191,0.5668418421885748,0.4369108142406359
val,component_37,0.7500591795330874,0.6059344565816207,0.35001095027235885
val,component_38,0.6674917529934231,0.5275505678815067,0.5019521823612186
val,component_39,0.7868002233779583,0.6314354797374739,0.24554128242227743
val,component_40,0.6834986962787214,0.5394553961734703,0.28814095456955113
val,component_41,0.7323697764482515,0.5947858885892114,0.46929016313055083
val,component_42,0.7215318206758926,0.5653313041580851,0.347939728578964
val,component_43,0.7263833702674316,0.5656272113055233,0.21141547912368883
val,component_44,0.738520847183483,0.597856576684233,0.31495677841428715
val,component_45,0.7635882242708796,0.6068332865519599,0.38981640231093523
val,component_46,0.7552757828496613,0.6115670580469417,0.34252649626700293
val,component_47,0.7223415688879377,0.5700570762308431,0.27038508935025785
val,component_48,0.6851941837223144,0.5425959463805963,0.2358348595331618
val,component_49,0.6906225920867995,0.5521179759125564,0.38198733361919873
val,component_50,0.735697084936982,0.5798125868461997,0.30273669068046977
val,component_51,0.706323641520326,0.5560464232700371,0.2189820379050149
val,component_52,0.7159415652950604,0.5649209901954789,0.27977187702573547
val,component_53,0.5605827379151971,0.4502161897017917,0.35524181053234927
val,component_54,0.6604047960558398,0.5206543651645342,0.4203552191631657
val,component_55,0.7111964563852075,0.5766508878021844,0.35641555299053657
val,component_56,0.6860199178915974,0.5407300108032748,0.26587230963038133
val,component_57,0.695690257720717,0.5550511712675013,0.31386360668811114
val,component_58,0.7555957228341044,0.6062563270614738,0.4742537221219058
val,component_59,0.6302905913110951,0.49585094728646123,0.19854743269290778
val,component_60,0.7330461027314533,0.5809460893848964,0.31375824958297854
test,overall,0.7148632063017851,0.569984236922052,0.4508060606749163
test,component_01,0.5570394929133767,0.43639868185847064,0.7581303791546218
test,component_02,0.6890306960582783,0.5388590316242083,0.6439830325094928
test,component_03,0.6482984770169552,0.5218055112691639,0.6326334171678947
test,component_04,0.7479843594652469,0.5932596588838219,0.5323548852556801
test,component_05,0.6327646187807235,0.501230742973236,0.5514434429245751
test,component_06,0.653783469839148,0.5244557722346422,0.6107926135605203
test,component_07,0.6685168654318706,0.5469271246735375,0.4809192782348115
test,component_08,0.7264759122967444,0.5640838856775235,0.3848971611586629
