source,target,source_index,target_index,total_effect
component_06,component_58,5,57,2.7923462416481327e-07
component_06,component_59,5,58,0.014677345954604652
component_06,component_60,5,59,3.980777774113729e-06
component_07,component_01,6,0,0.0013772047829652286
component_07,component_02,6,1,7.602213820036332e-05
component_07,component_03,6,2,0.054069941437195006
component_07,component_04,6,3,6.768700245604095e-05
component_07,component_05,6,4,6.619425589813243e-05
component_07,component_06,6,5,1.7261824216482723e-05
component_07,component_08,6,7,5.169422826190872e-06
component_07,component_09,6,8,0.0010788822393114753
component_07,component_10,6,9,0.0039294060333589145
component_07,component_11,6,10,0.04859492090027326
component_07,component_12,6,11,0.0013023654440803324
component_07,component_13,6,12,4.23491085007144e-06
component_07,component_14,6,13,0.0020058333865884408
component_07,component_15,6,14,6.793768317450652e-05
component_07,component_16,6,15,3.979405422028405e-06
component_07,component_17,6,16,1.3578712846121229e-05
component_07,component_18,6,17,0.00022572740982240564
component_07,component_19,6,18,4.4595131896747575e-05
component_07,component_20,6,19,0.0022526521512981775
component_07,component_21,6,20,6.894870467787258e-05
component_07,component_22,6,21,0.02970153578290351
component_07,component_23,6,22,0.029530272752809485
component_07,component_24,6,23,7.84232020340352e-05
component_07,component_25,6,24,0.00021348808106320052
component_07,component_26,6,25,0.00013810253250965722
component_07,component_27,6,26,0.0007805177928973123
component_07,component_28,6,27,0.0010578177329171683
component_07,component_29,6,28,5.748651535011738e-05
component_07,component_30,6,29,2.7428280454321973e-05
component_07,component_31,6,30,0.00019789582984674266
component_07,component_32,6,31,1.0556497914936427e-05
component_07,component_33,6,32,0.0002798292023875516
component_07,component_34,6,33,0.0010133939797553942
component_07,component_35,6,34,2.880612083478825e-05
component_07,component_36,6,35,3.0959489913901635e-05
component_07,component_37,6,36,2.6945678198736913e-05
component_07,component_38,6,37,0.0002587855500103956
component_07,component_39,6,38,0.0016179334973621907
component_07,component_40,6,39,7.047279673898425e-05
component_07,component_41,6,40,3.9347479473560994e-05
component_07,component_42,6,41,1.1722946620072698e-05
component_07,component_43,6,42,0.00478455027357227
component_07,component_44,6,43,4.2597231587443056e-05
component_07,component_45,6,44,3.841938180888621e-05
component_07,component_46,6,45,0.00046907443353966027
component_07,component_47,6,46,0.00039734087288888556
component_07,component_48,6,47,0.00014041686522001874
