source,mediator,target,source_index,mediator_index,target_index,amce
component_01,component_27,component_42,0,26,41,2.048120683429831e-06
component_01,component_41,component_42,0,40,41,5.721771214667113e-06
component_01,component_58,component_42,0,57,41,3.6508205749911316e-06
component_01,component_02,component_43,0,1,42,1.0627832507878298e-06
component_01,component_14,component_43,0,13,42,1.2632288139518493e-05
component_01,component_27,component_43,0,26,42,3.4679324364141386e-05
component_01,component_41,component_43,0,40,42,2.2626794295101254e-07
component_01,component_58,component_43,0,57,42,1.326218938509229e-05
component_01,component_02,component_44,0,1,43,2.436995240003979e-05
component_01,component_14,component_44,0,13,43,0.0004378439779455156
component_01,component_27,component_44,0,26,43,4.544144873278357e-05
component_01,component_41,component_44,0,40,43,6.461733322219861e-07
component_01,component_58,component_44,0,57,43,0.00024329852289024892
component_01,component_02,component_45,0,1,44,2.527193846214909e-06
component_01,component_14,component_45,0,13,44,0.0006417457375642397
component_01,component_27,component_45,0,26,44,2.4913772307072435e-06
component_01,component_41,component_45,0,40,44,8.80972787397156e-06
component_01,component_58,component_45,0,57,44,6.380417112921441e-06
component_01,component_02,component_46,0,1,45,5.8366364465435285e-08
component_01,component_14,component_46,0,13,45,3.2415671712707994e-07
component_01,component_27,component_46,0,26,45,2.2746074575053e-08
component_01,component_41,component_46,0,40,45,6.063547063318153e-08
component_01,component_58,component_46,0,57,45,1.2558146394888685e-08
component_01,component_02,component_47,0,1,46,8.859501957808073e-07
component_01,component_14,component_47,0,13,46,7.492140084319011e-07
component_01,component_27,component_47,0,26,46,1.2549096914717236e-06
component_01,component_41,component_47,0,40,46,4.857154561463718e-07
component_01,component_58,component_47,0,57,46,6.832473922935614e-09
component_01,component_02,component_48,0,1,47,9.186818329072807e-06
component_01,component_14,component_48,0,13,47,1.3384159403094639e-06
component_01,component_27,component_48,0,26,47,2.264251971521799e-08
component_01,component_41,component_48,0,40,47,1.7063222608149676e-07
component_01,component_58,component_48,0,57,47,3.2257698378403315e-06
component_01,component_02,component_49,0,1,48,1.3071732368798557e-07
component_01,component_14,component_49,0,13,48,4.941946771198255e-06
component_01,component_27,component_49,0,26,48,3.5053069091483956e-05
component_01,component_41,component_49,0,40,48,1.6997759178707782e-07
component_01,component_58,component_49,0,57,48,1.3636102306288086e-08
component_01,component_02,component_50,0,1,49,6.68759703949838e-07
component_01,component_14,component_50,0,13,49,4.915786489372205e-07
component_01,component_27,component_50,0,26,49,5.637727674752976e-08
component_01,component_41,component_50,0,40,49,3.5810868552620312e-09
component_01,component_58,component_50,0,57,49,2.568361285812688e-07
component_01,component_02,component_51,0,1,50,8.903785341188802e-08
component_01,component_14,component_51,0,13,50,9.898597185808348e-06
component_01,component_27,component_51,0,26,50,1.053207684784961e-06
component_01,component_41,component_51,0,40,50,2.1840705489407257e-06
component_01,component_58,component_51,0,57,50,1.6808890975546782e-07
component_01,component_02,component_52,0,1,51,1.1299107212689817e-06
component_01,component_14,component_52,0,13,51,4.837631375643153e-06
component_01,component_27,component_52,0,26,51,4.3950587571567184e-05
component_01,component_41,component_52,0,40,51,1.1793222903322836e-05
component_01,component_58,component_52,0,57,51,3.227471754672298e-06
component_01,component_02,component_53,0,1,52,1.206649057548631e-05
component_01,component_14,component_53,0,13,52,1.282168430934978e-07
component_01,component_27,component_53,0,26,52,8.541490294399573e-09
component_01,component_41,component_53,0,40,52,0.0004228463604207128
component_01,component_58,component_53,0,57,52,8.863028779482752e-08
