source,target,source_index,target_index,ei,bias_correction
component_26,component_56,25,55,0.021305204434415775,0.00012214486198658392
component_07,component_20,6,19,0.021128349558393267,0.00012214486198658392
component_36,component_09,35,8,0.021075161356374574,0.00012214486198658392
component_07,component_35,6,34,0.020983371500477965,0.00012214486198658392
component_54,component_36,53,35,0.02065031567263321,0.00012214486198658392
component_45,component_38,44,37,0.020587521755928005,0.00012214486198658392
component_01,component_55,0,54,0.020531854649794307,0.00012214486198658392
component_33,component_19,32,18,0.02009666957327146,0.00012214486198658392
component_54,component_47,53,46,0.019772454082785232,0.00012214486198658392
component_25,component_13,24,12,0.01973838041760359,0.00012214486198658392
component_22,component_28,21,27,0.01973341570622294,0.00012214486198658392
component_26,component_42,25,41,0.019381344474478382,0.00012214486198658392
component_16,component_60,15,59,0.01925831852966859,0.00012214486198658392
component_01,component_57,0,56,0.019243834750282244,0.00012214486198658392
component_60,component_51,59,50,0.019202091880871963,0.00012214486198658392
component_05,component_31,4,30,0.019122122254177643,0.00012214486198658392
component_02,component_38,1,37,0.018955680161056372,0.00012214486198658392
component_33,component_28,32,27,0.01885826403120041,0.00012214486198658392
component_15,component_26,14,25,0.018787256260629454,0.00012214486198658392
component_33,component_17,32,16,0.01862853845417703,0.00012214486198658392
component_29,component_07,28,6,0.018516735627995017,0.00012214486198658392
component_08,component_20,7,19,0.018354908200085868,0.00012214486198658392
component_25,component_08,24,7,0.01815729330376288,0.00012214486198658392
component_08,component_59,7,58,0.018071740640869825,0.00012214486198658392
component_15,component_23,14,22,0.018063914621178553,0.00012214486198658392
component_32,component_52,31,51,0.01792194213245094,0.00012214486198658392
component_17,component_58,16,57,0.017885855483594656,0.00012214486198658392
component_28,component_38,27,37,0.017820844596126432,0.00012214486198658392
component_17,component_44,16,43,0.017740596924484698,0.00012214486198658392
component_06,component_14,5,13,0.017693327229526212,0.00012214486198658392
component_02,component_08,1,7,0.017576116295926918,0.00012214486198658392
component_10,component_23,9,22,0.01754537304939368,0.00012214486198658392
component_57,component_23,56,22,0.017285716206240545,0.00012214486198658392
component_36,component_41,35,40,0.01721226694543338,0.00012214486198658392
component_19,component_34,18,33,0.017183565651785866,0.00012214486198658392
component_04,component_30,3,29,0.01717418292167886,0.00012214486198658392
component_18,component_51,17,50,0.01717245032568523,0.00012214486198658392
component_19,component_58,18,57,0.017130028709949844,0.00012214486198658392
component_25,component_07,24,6,0.017092565175966874,0.00012214486198658392
component_52,component_22,51,21,0.016925915229493355,0.00012214486198658392
component_50,component_35,49,34,0.01688865233336951,0.00012214486198658392
component_05,component_15,4,14,0.016879131138420315,0.00012214486198658392
component_27,component_06,26,5,0.01685756749195327,0.00012214486198658392
component_17,component_32,16,31,0.01683387484580215,0.00012214486198658392
component_14,component_20,13,19,0.01682038519650453,0.00012214486198658392
component_19,component_59,18,58,0.01660526329129068,0.00012214486198658392
component_40,component_57,39,56,0.016565248467475643,0.00012214486198658392
component_05,component_24,4,23,0.016532480370184347,0.00012214486198658392
component_04,component_57,3,56,0.0164995158197457,0.00012214486198658392
component_38,component_37,37,36,0.016498347175497675,0.00012214486198658392
component_47,component_11,46,10,0.016417595457366575,0.00012214486198658392
component_01,component_36,0,35,0.01640273983517595,0.00012214486198658392
component_59,component_27,58,26,0.01639816293965091,0.00012214486198658392
component_57,component_49,56,48,0.016345787039563082,0.00012214486198658392
component_30,component_38,29,37,0.016212982723126136,0.00012214486198658392
component_38,component_09,37,8,0.016137242184751252,0.00012214486198658392
component_52,component_27,51,26,0.016052559172149684,0.00012214486198658392
component_47,component_21,46,20,0.016051809450626415,0.00012214486198658392
component_36,component_21,35,20,0.015989092924614264,0.00012214486198658392
component_01,component_50,0,49,0.01592134439111072,0.00012214486198658392
component_19,component_28,18,27,0.01589960314553476,0.00012214486198658392
component_34,component_40,33,39,0.01588933112447031,0.00012214486198658392
component_36,component_26,35,25,0.015836258425705123,0.00012214486198658392
component_01,component_22,0,21,0.01582281321348838,0.00012214486198658392
component_25,component_03,24,2,0.015795314117714555,0.00012214486198658392
component_28,component_37,27,36,0.0157598362316797,0.00012214486198658392
component_38,component_48,37,47,0.01561603192923752,0.00012214486198658392
component_52,component_06,51,5,0.015567962347512806,0.00012214486198658392
component_16,component_35,15,34,0.015562482150173185,0.00012214486198658392
component_54,component_37,53,36,0.015531993663420281,0.00012214486198658392
component_23,component_34,22,33,0.015523364031282738,0.00012214486198658392
component_36,component_48,35,47,0.015472941822782357,0.00012214486198658392
component_10,component_06,9,5,0.01539859323831149,0.00012214486198658392
component_02,component_59,1,58,0.015292603489634512,0.00012214486198658392
component_47,component_13,46,12,0.015202197215476606,0.00012214486198658392
component_28,component_56,27,55,0.015178769895841986,0.00012214486198658392
component_09,component_47,8,46,0.015118965772630132,0.00012214486198658392
component_03,component_42,2,41,0.015081280306150205,0.00012214486198658392
component_07,component_59,6,58,0.015051001701514216,0.00012214486198658392
component_38,component_40,37,39,0.014988971420210658,0.00012214486198658392
component_10,component_41,9,40,0.014885438442079747,0.00012214486198658392
component_15,component_01,14,0,0.014834384969606082,0.00012214486198658392
component_18,component_34,17,33,0.014766170695413737,0.00012214486198658392
component_14,component_22,13,21,0.014685002537086399,0.00012214486198658392
component_45,component_55,44,54,0.014647873650143847,0.00012214486198658392
component_18,component_15,17,14,0.014628237130574113,0.00012214486198658392
component_25,component_11,24,10,0.014567607759515567,0.00012214486198658392
component_15,component_40,14,39,0.014496165650974342,0.00012214486198658392
component_08,component_48,7,47,0.014399315335694286,0.00012214486198658392
component_16,component_10,15,9,0.014346678913519605,0.00012214486198658392
component_14,component_04,13,3,0.014237907528678744,0.00012214486198658392
component_44,component_02,43,1,0.014220294220699894,0.00012214486198658392
component_40,component_26,39,25,0.014203555457167437,0.00012214486198658392
component_39,component_47,38,46,0.014131187020853482,0.00012214486198658392
component_08,component_29,7,28,0.014130390039543254,0.00012214486198658392
component_42,component_52,41,51,0.01408774107512803,0.00012214486198658392
component_15,component_60,14,59,0.014085125496080778,0.00012214486198658392
component_28,component_45,27,44,0.01407130524988818,0.00012214486198658392
component_36,component_01,35,0,0.01407100280164577,0.00012214486198658392
component_13,component_21,12,20,0.014055627330874015,0.00012214486198658392
component_22,component_32,21,31,0.013997663633510685,0.00012214486198658392
component_05,component_40,4,39,0.013949867124454838,0.00012214486198658392
component_18,component_46,17,45,0.013801697808488177,0.00012214486198658392
component_29,component_08,28,7,0.013798625147668248,0.00012214486198658392
component_06,component_16,5,15,0.013724030214210675,0.00012214486198658392
component_41,component_32,40,31,0.013685849137645461,0.00012214486198658392
component_40,component_15,39,14,0.01362158309296001,0.00012214486198658392
component_01,component_37,0,36,0.013502209860991862,0.00012214486198658392
component_52,component_41,51,40,0.013478849161246182,0.00012214486198658392
component_17,component_33,16,32,0.013467449087782316,0.00012214486198658392
component_36,component_16,35,15,0.013429415884279487,0.00012214486198658392
component_44,component_42,43,41,0.0133991525340328,0.00012214486198658392
component_02,component_28,1,27,0.013316183663710107,0.00012214486198658392
component_38,component_08,37,7,0.013177157190846625,0.00012214486198658392
component_51,component_05,50,4,0.013165426215699286,0.00012214486198658392
component_34,component_25,33,24,0.013156884196059596,0.00012214486198658392
component_40,component_36,39,35,0.013105304473061555,0.00012214486198658392
component_44,component_27,43,26,0.013087412387267634,0.00012214486198658392
component_54,component_26,53,25,0.013082365076006254,0.00012214486198658392
component_18,component_13,17,12,0.012994406144324401,0.00012214486198658392
component_32,component_45,31,44,0.012916533537775146,0.00012214486198658392
component_25,component_18,24,17,0.012825052127203085,0.00012214486198658392
component_01,component_42,0,41,0.012815651437815618,0.00012214486198658392
component_06,component_59,5,58,0.012760587519535715,0.00012214486198658392
component_46,component_50,45,49,0.012721984291698237,0.00012214486198658392
component_25,component_01,24,0,0.012714177143661938,0.00012214486198658392
component_06,component_27,5,26,0.012652650106313095,0.00012214486198658392
component_34,component_50,33,49,0.012623895714227066,0.00012214486198658392
component_33,component_12,32,11,0.012491690961945068,0.00012214486198658392
component_03,component_11,2,10,0.01236658655150391,0.00012214486198658392
component_03,component_20,2,19,0.012336859944110224,0.00012214486198658392
component_44,component_03,43,2,0.012266570780663366,0.00012214486198658392
component_30,component_60,29,59,0.012236653148944112,0.00012214486198658392
component_22,component_52,21,51,0.012165350517084053,0.00012214486198658392
component_11,component_47,10,46,0.012146826657007805,0.00012214486198658392
component_28,component_54,27,53,0.012129276768391045,0.00012214486198658392
component_50,component_52,49,51,0.012036073074167267,0.00012214486198658392
component_24,component_46,23,45,0.01197550350954511,0.00012214486198658392
component_16,component_20,15,19,0.011967120623375006,0.00012214486198658392
component_10,component_21,9,20,0.01193288545892595,0.00012214486198658392
component_43,component_55,42,54,0.011928198109924683,0.00012214486198658392
component_02,component_51,1,50,0.011682862414797377,0.00012214486198658392
component_03,component_05,2,4,0.011678001919223083,0.00012214486198658392
component_49,component_51,48,50,0.01166076214376869,0.00012214486198658392
component_47,component_49,46,48,0.01155769978983497,0.00012214486198658392
component_17,component_37,16,36,0.0115093255981558,0.00012214486198658392
component_12,component_09,11,8,0.011485845365293637,0.00012214486198658392
component_47,component_46,46,45,0.011475584482879771,0.00012214486198658392
component_30,component_08,29,7,0.011427459381488089,0.00012214486198658392
component_08,component_60,7,59,0.011406861651694671,0.00012214486198658392
component_22,component_44,21,43,0.011361866410329621,0.00012214486198658392
component_58,component_33,57,32,0.011356601815179734,0.00012214486198658392
component_33,component_22,32,21,0.011354950740974569,0.00012214486198658392
component_16,component_39,15,38,0.011352200554017042,0.00012214486198658392
component_53,component_59,52,58,0.011349800125956322,0.00012214486198658392
component_25,component_38,24,37,0.011339346713628115,0.00012214486198658392
component_53,component_16,52,15,0.01128244166073139,0.00012214486198658392
component_30,component_19,29,18,0.01126955873813169,0.00012214486198658392
component_53,component_39,52,38,0.01117794780808004,0.00012214486198658392
component_29,component_03,28,2,0.011144808275214385,0.00012214486198658392
component_02,component_19,1,18,0.011080320668606349,0.00012214486198658392
component_56,component_23,55,22,0.011043540424628573,0.00012214486198658392
component_10,component_36,9,35,0.011013223076525903,0.00012214486198658392
component_10,component_31,9,30,0.010994299247982526,0.00012214486198658392
component_04,component_28,3,27,0.01099222568931139,0.00012214486198658392
component_35,component_48,34,47,0.010964259557164525,0.00012214486198658392
component_23,component_60,22,59,0.01092483219416076,0.00012214486198658392
component_05,component_51,4,50,0.010895111946639793,0.00012214486198658392
component_35,component_52,34,51,0.010873354167285364,0.00012214486198658392
component_26,component_18,25,17,0.010859518045315146,0.00012214486198658392
component_29,component_53,28,52,0.010849619620272602,0.00012214486198658392
component_30,component_43,29,42,0.010837865763693926,0.00012214486198658392
component_41,component_01,40,0,0.010805895389826629,0.00012214486198658392
component_58,component_35,57,34,0.010804916760654825,0.00012214486198658392
component_12,component_19,11,18,0.010774307562221346,0.00012214486198658392
component_08,component_55,7,54,0.010765209484691191,0.00012214486198658392
