source,target,source_index,target_index,direct_effect,raw_ei
component_30,component_57,29,56,0.017057681021616894,0.017057681021616894
component_31,component_14,30,13,0.009694838066038271,0.009694838066038271
component_31,component_20,30,19,0.017626047289389362,0.017626047289389362
component_31,component_32,30,31,0.009427282451993223,0.009427282451993223
component_31,component_40,30,39,0.010745772009622529,0.010745772009622529
component_31,component_53,30,52,0.016371900808348112,0.016371900808348112
component_32,component_12,31,11,0.012017618173310252,0.012017618173310252
component_32,component_33,31,32,0.01114859358918565,0.01114859358918565
component_32,component_42,31,41,0.009490681133227203,0.009490681133227203
component_32,component_50,31,49,0.011068522355266515,0.011068522355266515
component_32,component_57,31,56,0.022705193985518728,0.022705193985518728
component_33,component_12,32,11,0.011314974464605927,0.011314974464605927
component_33,component_30,32,29,0.017064761630565375,0.017064761630565375
component_33,component_34,32,33,0.024140682066132648,0.024140682066132648
component_33,component_46,32,45,0.025329685105650507,0.025329685105650507
component_33,component_53,32,52,0.01642064050488649,0.01642064050488649
component_34,component_02,33,1,0.01763683248298292,0.01763683248298292
component_34,component_10,33,9,0.019422887881262348,0.019422887881262348
component_34,component_20,33,19,0.011898874584723624,0.011898874584723624
component_34,component_21,33,20,0.01739612895268299,0.01739612895268299
component_34,component_53,33,52,0.020443114531492758,0.020443114531492758
component_35,component_02,34,1,0.008986263939965662,0.008986263939965662
component_35,component_07,34,6,0.007937421154348229,0.007937421154348229
component_35,component_12,34,11,0.00955754625167484,0.00955754625167484
component_35,component_23,34,22,0.015021971448176158,0.015021971448176158
component_35,component_56,34,55,0.011456623723973361,0.011456623723973361
component_36,component_03,35,2,0.008182698611950777,0.008182698611950777
component_36,component_37,35,36,0.012529417702655133,0.012529417702655133
component_36,component_41,35,40,0.014057644021575035,0.014057644021575035
component_36,component_42,35,41,0.0068197925578188925,0.0068197925578188925
component_36,component_57,35,56,0.008010268153439627,0.008010268153439627
component_37,component_17,36,16,0.011264863915536813,0.011264863915536813
component_37,component_27,36,26,0.012843810361322561,0.012843810361322561
component_37,component_33,36,32,0.012064641841207546,0.012064641841207546
component_37,component_44,36,43,0.016432846109039813,0.016432846109039813
component_37,component_52,36,51,0.019043946431738533,0.019043946431738533
component_38,component_03,37,2,0.04305372253851268,0.04305372253851268
component_38,component_04,37,3,0.017500506003585655,0.017500506003585655
component_38,component_18,37,17,0.025579098735716097,0.025579098735716097
component_38,component_45,37,44,0.017967273979026997,0.017967273979026997
component_38,component_46,37,45,0.018621893505139347,0.018621893505139347
component_39,component_04,38,3,0.01099201107821957,0.01099201107821957
component_39,component_35,38,34,0.010041360567394969,0.010041360567394969
component_39,component_49,38,48,0.018029150271525293,0.018029150271525293
component_39,component_51,38,50,0.0145326332635685,0.0145326332635685
component_39,component_59,38,58,0.0138118899424973,0.0138118899424973
component_40,component_12,39,11,0.011481788049896843,0.011481788049896843
component_40,component_21,39,20,0.010650408075241459,0.010650408075241459
component_40,component_31,39,30,0.011384849180405922,0.011384849180405922
