source,target,total_effect
12,37,0.02945711515112464
12,38,0.0005399121785038075
12,39,0.08611076490002653
12,40,0.04456940430088164
12,41,-0.00701104916314996
12,42,-0.10315697107136847
12,43,0.01842258883545764
12,44,-0.13666859422275993
12,45,0.003918680878779725
12,46,0.03471038782328248
12,47,-0.2478486888751627
12,48,0.02644074042760995
12,49,-0.0009551871737723036
12,50,-0.014243877339948299
12,51,0.05892374374530998
12,52,-0.00035713127416928017
12,53,-0.09430522739128283
12,54,-0.030239140912816584
12,55,0.02270726715235992
12,56,-0.036431942374677104
12,57,-0.04118626415375221
12,58,0.07187993074687679
12,59,0.0624983215968213
13,0,-0.07724663724722865
13,1,0.03249046489594151
13,2,0.20791028681695578
13,3,-0.02437965499939794
13,4,-0.102173359104064
13,5,-0.03277260339404458
13,6,0.006990631245030732
13,7,0.008149479145249938
13,8,0.022142524795008087
13,9,0.03713399875922347
13,10,-0.04937618721703729
13,11,0.04128747638861102
13,12,-0.00943292277595067
13,14,-0.17639755090987697
13,15,-0.01659348966815903
13,16,-0.01604628038758288
13,17,-0.02389814320800354
13,18,-0.008864714340305061
13,19,0.05831116584578266
13,20,-0.025560701903732205
13,21,-0.0015147664633651241
13,22,-0.18220618055390703
13,23,0.11679626113473257
13,24,0.02033683499655207
13,25,-0.0001417891416653222
13,26,0.005261459374930078
13,27,0.02621377848889029
13,28,0.005788109157958777
13,29,0.3020115449154502
13,30,-0.15991551672379034
13,31,-0.142933133559489
13,32,-0.050733700389865834
13,33,0.012938391524134316
13,34,-0.01384763237742578
13,35,0.05738954122402263
13,36,-0.0878377344847737
13,37,-0.0012084433797549588
13,38,-0.11232441400427502
13,39,-0.04978477411474015
13,40,0.023678316442236707
13,41,0.032470142541668176
13,42,0.00445834853764661
13,43,0.01679153432007992
13,44,0.002042591790793268
13,45,-0.02578104769381609
13,46,-0.1255641935603274
13,47,0.0049041937285871995
13,48,0.005294429057155594
13,49,0.03944052120853961
13,50,-0.0704302014359764
13,51,7.181696937801393e-05
13,52,0.010047185444403042
13,53,0.008246260086867921
13,54,0.1425655266660927
13,55,0.006808578692792493
13,56,-0.013896016352252268
13,57,0.08476135710075752
13,58,-0.09937360248458793
13,59,-0.07551034230115586
14,0,-0.05020089782635324
14,1,-0.07778363954165207
14,2,0.046445307407476266
14,3,0.21342946495735549
14,4,0.046417621585171175
14,5,0.011686439802519363
14,6,-0.0003314569833688146
14,7,-0.0010839451641077842
14,8,0.010060328869228691
14,9,-0.003305950311627638
14,10,0.011849921278512221
14,11,-0.023533113920116686
14,12,0.020158675037690685
14,13,-0.1745887818699308
14,15,-0.13493539160388987
