source,mediator,target,amce,abs_amce
0,5,30,0.06224927700886026,0.06224927700886026
0,5,31,-2.1709762370648366e-05,2.1709762370648366e-05
0,5,32,-0.0037849786344293815,0.0037849786344293815
0,5,33,-0.00010372836432920485,0.00010372836432920485
0,5,34,0.02322550214716665,0.02322550214716665
0,5,35,0.0014243532475920135,0.0014243532475920135
0,5,36,0.002897456319904503,0.002897456319904503
0,5,37,0.0007061027075522722,0.0007061027075522722
0,5,38,-0.0023130548917540627,0.0023130548917540627
0,5,39,0.0015544495541845434,0.0015544495541845434
0,5,40,-0.024815974883690674,0.024815974883690674
0,5,41,0.00029405099377077836,0.00029405099377077836
0,5,42,0.0075704049611171964,0.0075704049611171964
0,5,43,0.0008907272253366235,0.0008907272253366235
0,5,44,-0.016053544424395834,0.016053544424395834
0,5,45,0.0004667800233827286,0.0004667800233827286
0,5,46,-0.0030804112955725854,0.0030804112955725854
0,5,47,-0.004445733824434861,0.004445733824434861
0,5,48,0.024403705309573594,0.024403705309573594
0,5,49,-0.005675350334052137,0.005675350334052137
0,5,50,0.0009380675729813578,0.0009380675729813578
0,5,51,-0.010826330904744167,0.010826330904744167
0,5,52,-0.0010729259771149167,0.0010729259771149167
0,5,53,0.000539310948151214,0.000539310948151214
0,5,54,-0.0066137149414840545,0.0066137149414840545
0,5,55,-0.0015602413167935775,0.0015602413167935775
0,5,56,0.00804873962798938,0.00804873962798938
0,5,57,-0.023016080871946433,0.023016080871946433
0,5,58,0.02235370896891297,0.02235370896891297
0,5,59,0.0032265151894035945,0.0032265151894035945
0,7,1,0.004240574860080087,0.004240574860080087
0,7,2,-0.0012014293150432206,0.0012014293150432206
0,7,3,-0.00110152188980276,0.00110152188980276
0,7,4,-0.016492179041771426,0.016492179041771426
0,7,5,-0.0008128411269300068,0.0008128411269300068
0,7,6,-0.0011531939346461418,0.0011531939346461418
0,7,8,-0.0064444702311963,0.0064444702311963
0,7,9,0.00034117774712134755,0.00034117774712134755
0,7,10,0.0018363861489861268,0.0018363861489861268
0,7,11,0.012069649795639894,0.012069649795639894
0,7,12,0.0072368375664160255,0.0072368375664160255
0,7,13,-0.0023381974426661305,0.0023381974426661305
0,7,14,0.001981825040844619,0.001981825040844619
0,7,15,0.003485751930906637,0.003485751930906637
0,7,16,-0.000682059603885535,0.000682059603885535
0,7,17,0.001368301651054293,0.001368301651054293
0,7,18,-0.004291320713534639,0.004291320713534639
0,7,19,-5.6207501868335144e-05,5.6207501868335144e-05
0,7,20,0.0034928850485535204,0.0034928850485535204
0,7,21,0.0028853187525763563,0.0028853187525763563
0,7,22,0.0004628855659909138,0.0004628855659909138
0,7,23,-0.001303247921878007,0.001303247921878007
0,7,24,-0.0035113817831801918,0.0035113817831801918
0,7,25,0.000478455694862004,0.000478455694862004
0,7,26,-0.0018775449932229404,0.0018775449932229404
