model,horizon,component,rmse,mae,corr
RNN,4,component_60,0.7629216047053898,0.6098359725340726,0.23028763150451223
RNN,8,overall,0.7900837410584199,0.6312421167591226,0.18305814017322997
RNN,8,component_01,0.737924646552731,0.5836402616612988,0.5144954464755815
RNN,8,component_02,0.8030335607866309,0.6336659559629446,0.4784765336576745
RNN,8,component_03,0.8213518919833585,0.6627498979412365,0.11055738849952337
RNN,8,component_04,0.7820501452013224,0.6288794502485616,0.12490574757089615
RNN,8,component_05,0.7779756923141923,0.6182438287239206,0.09192347213827938
RNN,8,component_06,0.8336044941692347,0.6659672226550205,0.34777879251105515
RNN,8,component_07,0.8604341288356979,0.6881434172675528,0.0651735887311684
RNN,8,component_08,0.8640151349544397,0.6814244266545226,0.02270782024865925
RNN,8,component_09,0.8062665880525732,0.6591911538046118,0.24574436480627807
RNN,8,component_10,0.8326791416380753,0.6768185222912673,0.0258188268482837
RNN,8,component_11,0.9076382183666318,0.728029621136226,0.09492930522477946
RNN,8,component_12,0.8026850533631914,0.6350017812332038,0.05863733964051848
RNN,8,component_13,0.8383105139576978,0.6670107397606477,0.01817005888660767
RNN,8,component_14,0.8262584570777628,0.6541796228177946,-0.05028959898772517
RNN,8,component_15,0.832770133809572,0.669020204157217,0.11385944176510493
RNN,8,component_16,0.8242267507358357,0.6675314676400042,0.1763114234379002
RNN,8,component_17,0.8111710535385568,0.6506654470328744,0.02265177416791217
RNN,8,component_18,0.8101717273899158,0.6377811751126203,-0.00810306148772087
RNN,8,component_19,0.8136396695602286,0.6524801437232002,-0.1264748198913162
RNN,8,component_20,0.7691960467449489,0.6062674991778727,0.11721475308097476
RNN,8,component_21,0.8066928013762116,0.6451868608840914,0.08097543985702219
RNN,8,component_22,0.8538728465798551,0.696178531306049,0.09843418378665121
RNN,8,component_23,0.8056992296978754,0.6562181730816564,0.18162421301990497
RNN,8,component_24,0.799382974242323,0.6463670436308102,0.09836256070528417
RNN,8,component_25,0.7362100228990833,0.5976785402797923,0.22023042104020776
RNN,8,component_26,0.8043844570687793,0.6484222233207256,0.10833555041744347
RNN,8,component_27,0.8001228520903846,0.6296504382626652,0.040796183489745404
RNN,8,component_28,0.7521081326160914,0.5969506011065898,-0.06551518118168416
RNN,8,component_29,0.7565930835458873,0.6222872311447707,-0.026458976140910404
RNN,8,component_30,0.8820325114577304,0.708661872453728,0.1357345888501293
RNN,8,component_31,0.7909491774894747,0.6369136010524808,0.08575479104795425
RNN,8,component_32,0.8070581357081023,0.6492486739632393,0.10982637875680211
RNN,8,component_33,0.7984560894467041,0.6367540587001652,0.0754713810544311
RNN,8,component_34,0.7905382941937844,0.6329139743528174,0.25152371358878683
RNN,8,component_35,0.8438784067447301,0.6753879177939208,0.04416631880142206
RNN,8,component_36,0.6792258869844087,0.5465155511577043,0.26510124289571924
RNN,8,component_37,0.782957899326153,0.6205287620705605,0.11583149783181769
RNN,8,component_38,0.7702140283210116,0.6061949114764789,-0.013182843352594977
