model,horizon,component,rmse,mae,corr
RNN,2,component_37,0.7936000788977026,0.6353678883389349,0.1314143542716397
RNN,2,component_38,0.771865324274875,0.6098551903215789,0.10243464549298191
RNN,2,component_39,0.7464970502693986,0.6058831550198195,0.1561335408516904
RNN,2,component_40,0.7600268523009223,0.6152842357141061,0.07971544025891987
RNN,2,component_41,0.77157216810897,0.6190417011420805,0.12252140882899361
RNN,2,component_42,0.826353438289337,0.6605263044590953,0.12927281118880857
RNN,2,component_43,0.6944972197362063,0.5608052579673518,0.2698516958502871
RNN,2,component_44,0.7144872109781772,0.5670548472505891,0.2411229744558522
RNN,2,component_45,0.7420912127271431,0.5965475773888431,0.28074823169794794
RNN,2,component_46,0.7780217162439527,0.6336990116363101,0.1370570344339042
RNN,2,component_47,0.7619610058727576,0.5924461013398392,0.029899686649820956
RNN,2,component_48,0.7455631938821609,0.5928585562750568,0.2347028364476277
RNN,2,component_49,0.7202616682163983,0.5669539496660816,0.08497295555029101
RNN,2,component_50,0.7460157596300344,0.5954817923306843,0.4039754565649908
RNN,2,component_51,0.7456113575992146,0.5918642379883764,0.06864706266602175
RNN,2,component_52,0.7590233101454443,0.6108159303943677,0.21554250776381753
RNN,2,component_53,0.7383154339618829,0.584603072370378,0.08710126165661332
RNN,2,component_54,0.7645784034876549,0.6192249123871525,0.11101877984088275
RNN,2,component_55,0.7529047503657531,0.6003557115349737,0.20581097348613797
RNN,2,component_56,0.7541788429446491,0.6093032164184244,0.19880539387323715
RNN,2,component_57,0.7763551417316731,0.6209158459870325,0.08072220170426254
RNN,2,component_58,0.7696845051342127,0.6100143523747431,0.10922347985939693
RNN,2,component_59,0.7581262395168966,0.6074065714240929,0.1457034279110942
RNN,2,component_60,0.7534698659847435,0.6031770454427312,0.2508808768979817
RNN,4,overall,0.7876085491163025,0.6288872443227431,0.19873864140908004
RNN,4,component_01,0.7316348433017659,0.5726316559609551,0.5248033236935613
RNN,4,component_02,0.8092122114193114,0.6361976687616109,0.4546476576939443
RNN,4,component_03,0.8274131443345298,0.6675987455735634,0.09452463054949681
RNN,4,component_04,0.7685646096328327,0.6213629202949197,0.22269554032228953
RNN,4,component_05,0.783790612643864,0.6125412360010275,0.10357729869205447
RNN,4,component_06,0.8135036174675409,0.6515325002947866,0.42119516650906685
RNN,4,component_07,0.84728610554846,0.6759397342763628,0.10987849923015412
RNN,4,component_08,0.8445214437653384,0.6692553643531838,0.20531783057883043
RNN,4,component_09,0.8158259699411744,0.6610779677853992,0.21944506427672475
RNN,4,component_10,0.8342634115580958,0.6766635819186955,0.05423831299314572
