model,horizon,component,rmse,mae,corr
RNN,4,component_52,0.7897299702910602,0.6306374921140486,0.11393581567228339
RNN,4,component_53,0.7413949914432747,0.5812206266278329,0.14069893215330448
RNN,4,component_54,0.7587313803574847,0.6072527417148035,0.15226040558536227
RNN,4,component_55,0.7939926285272103,0.6338508396589541,0.06548899843840954
RNN,4,component_56,0.7652482922994971,0.6163188950572989,0.177710760358828
RNN,4,component_57,0.7849866363821508,0.623479071403975,0.11396182475853796
RNN,4,component_58,0.7897519491361351,0.6239652444976981,0.061734633145259454
RNN,4,component_59,0.7880670587213082,0.6309893479885013,0.025559096417274406
RNN,4,component_60,0.7915854901921211,0.6325776587665941,0.12011259867132772
RNN,8,overall,0.8015704321925814,0.6394279727851185,0.1727718193442934
RNN,8,component_01,0.7301757295138804,0.5755208919493352,0.5356152061312236
RNN,8,component_02,0.8044925424201481,0.6362389130469875,0.44464020432732076
RNN,8,component_03,0.8239911354368804,0.6697232010144404,0.137056660603358
RNN,8,component_04,0.7926892393781009,0.6247347666740515,0.17287216897889562
RNN,8,component_05,0.8095118765880362,0.641288461128269,0.06802866453669983
RNN,8,component_06,0.8343905920546323,0.6623019279965944,0.3123017824506547
RNN,8,component_07,0.871449514997269,0.700667336369977,0.069511551584175
RNN,8,component_08,0.8702398453349361,0.6907478380470974,0.09534914082937997
RNN,8,component_09,0.8004938616892624,0.6381113213354566,0.2750755534541962
RNN,8,component_10,0.8354496970498139,0.6763905374588072,0.13788842990338923
RNN,8,component_11,0.9199424937695,0.7431897375914376,0.12437477433053934
RNN,8,component_12,0.8097798267339432,0.6352708348166471,0.13500591560707156
RNN,8,component_13,0.8585901932612438,0.67773960585477,0.008700078526023131
RNN,8,component_14,0.8485086398731332,0.6652778088835256,0.044506440187838815
RNN,8,component_15,0.8449005003836995,0.6665227609503678,0.0831990775027379
RNN,8,component_16,0.8612849305422129,0.7059770860461052,0.042096275566000325
RNN,8,component_17,0.8336308414777791,0.6675874245682654,0.025658980734944933
RNN,8,component_18,0.8390197831248353,0.6670343379793698,-0.031021900174315463
RNN,8,component_19,0.8103839528700406,0.6572908041109422,0.1256805144824147
RNN,8,component_20,0.7889610238997202,0.6206564429929506,0.10172758681133474
RNN,8,component_21,0.8144009126205759,0.6518416128227471,0.1398484529883015
RNN,8,component_22,0.8577916649316021,0.696125939491166,0.10996245917881557
RNN,8,component_23,0.8040283386904322,0.6542666636790488,0.19622672240610092
RNN,8,component_24,0.8292228319484685,0.6719554540652146,0.02365672879622595
RNN,8,component_25,0.7438140455414476,0.6031674734962919,0.2248025038417337
RNN,8,component_26,0.828212264523952,0.6657260865798075,0.055181220937349285
RNN,8,component_27,0.8162547310846714,0.6378267289440048,0.05324595186359247
RNN,8,component_28,0.7211701058623649,0.5748684397512499,0.2403672040206863
RNN,8,component_29,0.7427905296577418,0.6124966938445867,0.11621440533132842
RNN,8,component_30,0.8794840340412554,0.7079127450013402,0.16390771785379368
RNN,8,component_31,0.8035650063130662,0.6514862182205489,0.06842128579108299
RNN,8,component_32,0.8178801572811722,0.6607021630921475,0.11459895181497258
RNN,8,component_33,0.818888256146793,0.6555470033758563,0.047581890410459696
RNN,8,component_34,0.7928701444590478,0.6324774654372485,0.2603231629326629
RNN,8,component_35,0.8666050773597083,0.6916765099121669,-0.012332277736348006
RNN,8,component_36,0.6986357804566328,0.5567303248134305,0.22066279734486208
RNN,8,component_37,0.7952794009429005,0.6316355590384698,0.12482525749082798
RNN,8,component_38,0.766454131823949,0.6059755793266108,0.12559257033610352
RNN,8,component_39,0.7921496458945342,0.63946235847501,-0.0034839283316512866
RNN,8,component_40,0.7550928252361192,0.610990936139736,0.07082747807155397
RNN,8,component_41,0.7973412012321549,0.6431322229650335,0.01533345538546754
RNN,8,component_42,0.8507628655001577,0.6865762275621361,-0.007134959647229466
RNN,8,component_43,0.7186784630647409,0.5798491216428673,0.19355826470862678
RNN,8,component_44,0.7536413645062491,0.6057277502313345,0.06760660185855241
RNN,8,component_45,0.7581885058363973,0.5984587597065049,0.2285529783960128
RNN,8,component_46,0.7874205768829653,0.6429061519403565,0.09988116171088152
RNN,8,component_47,0.7666094499578004,0.5985262390269392,0.05366337588168731
RNN,8,component_48,0.7766697576428465,0.6210516341637005,0.08736733794751066
RNN,8,component_49,0.7238910667057377,0.5713433450295895,0.06591488104488381
RNN,8,component_50,0.7802052162744461,0.6119006468996973,0.26445679478118606
RNN,8,component_51,0.7591064488788469,0.6001670582659064,0.009884569724591227
RNN,8,component_52,0.7965334918723441,0.6353121558125845,0.09763624695549758
RNN,8,component_53,0.7248595510572996,0.5702658352341019,0.17279111289970359
RNN,8,component_54,0.7608244523925964,0.60991958473126,0.13091272336217843
RNN,8,component_55,0.8045065652024826,0.6336192560152599,0.037140098490005054
RNN,8,component_56,0.7735244702701666,0.6181711719103308,0.14564226550912926
RNN,8,component_57,0.7757302336578671,0.6174289015629092,0.12495387419549862
RNN,8,component_58,0.7914628467761019,0.6246411141586604,0.04925697362977303
RNN,8,component_59,0.793745318154539,0.6299896784842745,-0.003558513900065657
RNN,8,component_60,0.792154398526226,0.6315475174415881,0.10202041819290586
MLP,1,overall,0.7465891936625257,0.5962742922374883,0.3705989694785347
MLP,1,component_01,0.6268182534858169,0.5037569236994623,0.679418318429667
MLP,1,component_02,0.7247655689536526,0.5657024628786241,0.5899568097264094
MLP,1,component_03,0.7204285986109409,0.5866363296072311,0.5082164311345935
MLP,1,component_04,0.7006112063521923,0.5511622032480362,0.44357008863259356
MLP,1,component_05,0.7238313289878886,0.5706413954129063,0.3586242572126852
MLP,1,component_06,0.7129472586586117,0.5696491570814988,0.5867256352138095
