source,target,lag,coefficient,p_value
32,11,1,-0.10370364037509959,9.64371744228149e-11
32,11,2,0.06755445742367756,2.082525959207823e-05
36,11,1,-0.06813397166085856,1.1770865108945607e-05
38,11,1,-0.0805842966703206,2.556607456995668e-07
40,11,1,-0.08185258232365984,9.290283072202106e-08
52,11,1,0.12719763955933022,1.2944005589882328e-15
2,12,1,0.09698246318092468,8.681190436849311e-09
3,12,1,0.07144528130571155,6.400026592835804e-05
3,12,2,-0.057354171811541385,0.0022252981442437815
6,12,1,-0.12515216869442913,5.3007793760002574e-14
6,12,3,0.08003023089652231,6.491444136000999e-07
12,12,1,0.43717913709430917,2.7448126271486596e-146
12,12,4,0.056822074132608306,0.0005539737119060535
13,12,1,0.051920339928759204,0.0008479440579126711
14,12,1,-0.057997999634443645,0.00028084935836345936
22,12,1,-0.0687104487930266,3.275113107693773e-05
24,12,2,0.05726704161528404,0.00017465166487731903
28,12,1,-0.08909511147426744,2.0832190661309954e-08
30,12,1,-0.05372213957648866,0.0010208627877461057
32,12,1,0.0761816912238858,7.439601406899098e-07
44,12,1,-0.06369155133705781,4.5740309032436216e-05
46,12,1,-0.03974005318948373,0.009691356384992756
47,12,1,0.06254932551997104,7.58140457930581e-05
54,12,1,-0.05640802571295477,0.00026335653697715194
1,13,1,-0.08628716180550619,1.147038687048909e-06
2,13,1,-0.1374593549768499,3.909843968647904e-15
2,13,2,0.04720009084783385,0.01060130356198483
2,13,3,0.06803533199049498,4.238435504708638e-05
3,13,2,-0.06969600791071391,0.00010028920799426671
7,13,1,-0.13894489493976403,4.862472259617337e-19
13,13,1,0.43511661211648933,1.1852092182423942e-163
19,13,1,-0.0789934491415801,1.8314426845363888e-07
21,13,1,-0.11108586736574033,2.091389102447069e-10
43,13,1,0.06739438796724563,9.584481794978193e-06
46,13,1,0.07129329401384416,3.377762397832267e-06
56,13,1,-0.04631597548139585,0.002342695410003391
1,14,2,-0.09600165790740801,2.9960217944018434e-09
3,14,1,-0.07275419539769691,7.825816616918276e-06
4,14,1,0.07019767856819083,1.6228436911409895e-05
6,14,2,-0.0799697305903409,3.727134379409733e-07
8,14,1,0.04253603084560636,0.00724427894435944
11,14,1,-0.13435418410026437,1.5634372399066888e-16
14,14,1,0.34835207387169714,8.366438067258144e-92
14,14,3,0.07125211870488041,5.994146256491687e-06
19,14,2,0.05428260967057918,0.0004481955809233597
21,14,1,-0.05094488173311971,0.002379211833907764
31,14,1,0.07541011118582884,1.4529623661996573e-06
48,14,1,0.09937923982868897,1.6339854860421464e-09
49,14,1,-0.056235926547211344,0.0004885572010891028
1,15,1,0.0804878154177219,7.187284146684425e-06
13,15,2,0.05533376307311127,0.00035169521559501245
15,15,1,0.41070257873967464,1.5429745923394984e-132
15,15,3,0.07761879866901096,8.006630710299948e-07
16,15,1,0.08072373403212915,1.0236156251744382e-06
16,15,2,-0.05553186405300016,0.0007836356714904217
18,15,2,0.08930297983170515,8.666284386490939e-09
21,15,1,0.13255887379823098,1.0667128716649176e-13
22,15,1,0.05830163890815467,0.00036696386474330646
23,15,1,0.04138671420819553,0.008478662120150261
41,15,1,-0.06993790473075681,9.474882119852852e-06
56,15,1,-0.06539732688406333,3.0632447347998726e-05
2,16,1,0.11087163684038426,3.61460711352631e-10
7,16,2,0.07811830063122324,1.1260676894840297e-06
13,16,1,0.03981817919226272,0.012888885440569514
15,16,1,-0.0574220176263241,0.0005009343169618442
16,16,1,0.3700360505790466,5.675046752046907e-109
16,16,3,0.054263277705811255,0.0005579333543763362
20,16,2,-0.05018739518843132,0.0016534895346183465
35,16,2,0.0754035942999963,1.6816377828494717e-06
36,16,1,-0.07463676801414904,3.391753292647936e-06
45,16,1,-0.13033971565042068,5.809223781799667e-14
45,16,2,0.05912054668808356,0.0004861628379588373
50,16,2,-0.05396141547106676,0.0006141782140752296
1,17,1,0.07956524036806215,3.5772143335806534e-06
10,17,1,0.07155830637952593,4.741254572331229e-06
17,17,1,0.336854323926086,3.7788485210768656e-84
22,17,1,-0.07797055529001812,4.229421780490622e-06
24,17,1,0.08513053145305058,5.240234268362366e-08
36,17,1,0.05515769560583878,0.000774753570742586
37,17,1,0.10611570516710754,1.2085673032737684e-11
41,17,1,-0.14066257719843314,5.4594907621438515e-18
42,17,1,0.10567327848847817,2.0220881429048225e-10
45,17,1,0.06607654198170639,6.65412780038658e-05
50,17,3,-0.049623311381682154,0.001300336898886043
52,17,1,-0.05521313849849591,0.0005230535652391346
57,17,1,-0.09443680030400155,3.651286424331476e-09
0,18,1,0.08695464044463613,2.978357128485465e-06
2,18,1,-0.12205473286098482,4.657448714977106e-13
6,18,1,-0.041825005665626726,0.01004702666171855
8,18,1,-0.10453752083869533,3.220978138470768e-11
12,18,1,-0.09099691326327708,1.7101107505575374e-08
14,18,1,0.05294174323564529,0.0011727779922790823
18,18,1,0.3417507853867338,1.1775836491570131e-88
27,18,2,0.06852206576120645,1.0170606399142908e-05
28,18,1,0.05153006548822938,0.0009684202299498624
30,18,1,-0.07905607429003501,6.717679158300973e-06
32,18,2,-0.04325043181550114,0.005185034407556767
49,18,1,0.08126892705415333,2.1777048341528893e-07
52,18,1,-0.11853087418459098,1.1487813535204787e-13
58,18,3,0.06354062613871717,3.567774406936914e-05
