source,target,lag,total_effect
1,26,2,0.008175964035023771
1,27,2,-0.022058786758704395
1,28,2,-0.00425169217782001
1,29,2,0.009473288240113628
1,30,2,0.13840881528164217
1,31,2,0.021234519815830896
1,32,2,-0.07402523268041315
1,33,2,-0.01507295478558446
1,34,2,0.00021587044580555323
1,35,2,0.035284025777310914
1,36,2,0.01314414247785331
1,37,2,0.07068358308145928
1,38,2,0.004580723428188464
1,39,2,-0.010047087619380193
1,41,2,0.01592251487905998
1,42,2,0.08570978291205222
1,43,2,0.0077002026208661456
1,44,2,-0.12244675287443518
1,45,2,-0.009100292253865796
1,46,2,-0.011628226900633778
1,47,2,0.06236475840862345
1,48,2,0.010797260689983042
1,49,2,-0.04661037008652781
1,50,2,0.017004799845534727
1,51,2,0.10034500814291987
1,52,2,0.00364728544935642
1,53,2,-0.0031126448914866973
1,54,2,-0.005141905497503388
1,55,2,-0.009269408947749086
1,56,2,0.0023529150580155482
1,57,2,0.02750329014954588
1,58,2,0.0035631980142423175
1,59,2,-0.0650366953137028
2,0,2,0.009413633426696487
2,1,2,0.007527542257477151
2,3,2,-0.05695678010834873
2,4,2,0.001463397268553039
2,5,2,-0.17145424507188808
2,6,2,0.014817798589053991
2,7,2,0.017228697635411166
2,8,2,-0.11469747252710537
2,9,2,-0.13586661594948138
2,10,2,-0.0008270578071094187
2,11,2,-0.009203306213525511
2,12,2,0.09023857896375062
2,13,2,-0.0632861607726275
2,14,2,-0.008994871367834762
2,15,2,0.009468073553110147
2,16,2,0.08423023315340986
2,17,2,0.018866491588021013
2,18,2,-0.08391863498086806
2,19,2,-0.06948260280210804
2,20,2,0.011832294457550845
2,21,2,-0.05160693796550766
2,22,2,-0.04406639344558903
2,23,2,-0.07761999943001892
2,24,2,0.03350130482523033
2,25,2,0.013276224364156116
2,26,2,-0.0028225095660916215
2,27,2,0.01217546463824602
2,28,2,0.008914398871941178
2,29,2,-0.004095074359439525
2,30,2,-0.04317149260843271
2,31,2,0.09713009161727475
2,32,2,-0.0047777707215995
2,33,2,0.020115132348775225
2,34,2,0.07401250396902301
2,35,2,-0.0032928288377222802
2,36,2,-0.003229318031547658
2,37,2,-0.04344917519628139
2,39,2,0.0758615154229547
2,40,2,-0.02336039182048705
2,41,2,-0.021382784096642203
2,42,2,0.12020305032653457
2,43,2,-0.0009984817636620523
2,44,2,0.00022454393719350402
2,45,2,0.02314256868215359
2,46,2,0.031353563725021016
2,47,2,-0.026254070541350018
2,48,2,-0.09228402795099469
2,49,2,0.010407256151001866
2,50,2,-0.052090944683091014
2,51,2,0.013409141025142008
2,52,2,-0.02054985540715183
2,53,2,-0.025741950755235433
2,54,2,-0.01653383922403239
2,55,2,-0.12337823369755892
2,56,2,-0.03630120630936477
2,57,2,-0.05413914952404876
2,58,2,0.01642517257295427
2,59,2,-0.010553039996311964
3,0,2,-0.016466408610662293
3,1,2,-0.12197642035763956
3,2,2,0.12901433339766308
3,4,2,-0.012294528546801874
3,5,2,-0.014380695158213457
3,6,2,-0.007528001622716991
3,7,2,0.004611183770464897
3,8,2,0.044614242687483346
