source,mediator,target,lag,mce,mce_max_abs
58,12,30,4,1.6854093432479376e-05,1.6854093432479376e-05
58,12,32,4,-4.620979963094584e-05,4.620979963094584e-05
58,12,34,4,-3.891663085759615e-05,3.891663085759615e-05
58,12,35,4,-0.00012998205496936267,0.00012998205496936267
58,12,37,4,-0.00015059798773265926,0.00015059798773265926
58,12,38,4,-0.00020853494535676967,0.00020853494535676967
58,12,39,4,-0.0004836715864690929,0.0004836715864690929
58,12,40,4,0.0001580365846548526,0.0001580365846548526
58,12,41,4,-3.6751490352660184e-05,3.6751490352660184e-05
58,12,42,4,-0.0004638831452785418,0.0004638831452785418
58,12,43,4,2.166247581748132e-05,2.166247581748132e-05
58,12,44,4,-0.00011734586199474038,0.00011734586199474038
58,12,46,4,-2.4010941827754765e-06,2.4010941827754765e-06
58,12,47,4,2.6099325194995845e-05,2.6099325194995845e-05
58,12,48,4,-6.041819692102768e-05,6.041819692102768e-05
58,12,49,4,0.00012557185267485747,0.00012557185267485747
58,12,50,4,-9.846828783803725e-05,9.846828783803725e-05
58,12,52,4,5.55403768842987e-05,5.55403768842987e-05
58,12,54,3,0.0008604051611970755,0.0008604051611970755
58,12,56,4,4.0376631270168145e-05,4.0376631270168145e-05
58,12,57,4,0.0005779390998534631,0.0005779390998534631
58,12,59,4,3.0039625215481317e-05,3.0039625215481317e-05
59,12,0,4,0.0006688789859947905,0.0006688789859947905
59,12,1,4,-3.662138672869651e-05,3.662138672869651e-05
59,12,2,4,2.6598050810077573e-05,2.6598050810077573e-05
59,12,3,4,1.8305269281156545e-05,1.8305269281156545e-05
59,12,4,4,8.07651940297957e-05,8.07651940297957e-05
59,12,5,4,5.401828838831786e-05,5.401828838831786e-05
59,12,7,4,-0.0008636335779848106,0.0008636335779848106
59,12,8,4,-0.0001221257260669347,0.0001221257260669347
59,12,9,4,6.8637013698920335e-06,6.8637013698920335e-06
59,12,10,4,-1.9235426320408054e-05,1.9235426320408054e-05
59,12,11,4,0.0011741853986015904,0.0011741853986015904
59,12,13,4,-3.455999324183598e-05,3.455999324183598e-05
59,12,14,4,2.9064396619554993e-05,2.9064396619554993e-05
59,12,15,4,-1.4971842485318152e-05,1.4971842485318152e-05
59,12,16,4,6.0728465124164355e-05,6.0728465124164355e-05
59,12,17,4,-7.422907572504547e-06,7.422907572504547e-06
59,12,18,4,3.2105804869213966e-05,3.2105804869213966e-05
59,12,19,4,0.0006554468905650532,0.0006554468905650532
59,12,20,4,-4.992112188038217e-05,4.992112188038217e-05
59,12,21,4,7.669272571858739e-05,7.669272571858739e-05
59,12,22,4,-0.0001660419819814957,0.0001660419819814957
59,12,23,4,0.0010746412951557177,0.0010746412951557177
59,12,24,4,-7.30662446925053e-05,7.30662446925053e-05
59,12,25,4,9.425984484180694e-05,9.425984484180694e-05
59,12,27,4,-1.7656354085106296e-05,1.7656354085106296e-05
59,12,28,4,4.418656266958268e-05,4.418656266958268e-05
59,12,29,4,-6.0368045336912354e-05,6.0368045336912354e-05
59,12,30,4,-1.3186143036920082e-05,1.3186143036920082e-05
59,12,32,4,3.615317727305445e-05,3.615317727305445e-05
59,12,34,4,3.044721824161517e-05,3.044721824161517e-05
59,12,35,4,0.00010169410629680352,0.00010169410629680352
59,12,37,4,0.00011782340090083594,0.00011782340090083594
59,12,38,4,0.0001631515589187128,0.0001631515589187128
59,12,39,4,0.0006016115219866125,0.0006016115219866125
59,12,40,4,-0.00012364313860449734,0.00012364313860449734
59,12,41,4,2.875327649936232e-05,2.875327649936232e-05
59,12,42,4,0.0005817023107967465,0.0005817023107967465
59,12,43,4,-1.694807886330231e-05,1.694807886330231e-05
59,12,44,4,9.180792353218233e-05,9.180792353218233e-05
59,12,46,4,1.8785449045974345e-06,1.8785449045974345e-06
59,12,47,4,-2.041933827927507e-05,2.041933827927507e-05
59,12,48,4,4.7269406083758157e-05,4.7269406083758157e-05
59,12,49,4,-9.82436947685847e-05,9.82436947685847e-05
59,12,50,4,7.703866916572346e-05,7.703866916572346e-05
59,12,52,4,-4.3453144297246615e-05,4.3453144297246615e-05
59,12,54,4,-0.0009364796745663533,0.0009364796745663533
59,12,56,4,-3.158947928052938e-05,3.158947928052938e-05
59,12,57,4,-0.000732069223721686,0.000732069223721686
59,12,58,4,-6.086509248454e-05,6.086509248454e-05
0,13,1,4,-0.00015696104835111538,0.00015696104835111538
0,13,2,4,-0.0005309600869779739,0.0005309600869779739
0,13,3,4,-0.00369118995091066,0.00369118995091066
0,13,6,4,0.00012653317741372723,0.00012653317741372723
0,13,7,4,-0.0001386732472052829,0.0001386732472052829
0,13,8,4,0.000688197314595268,0.000688197314595268
0,13,9,4,-0.0002002149459542739,0.0002002149459542739
0,13,10,4,0.0036416501549482796,0.0036416501549482796
0,13,11,4,-0.0004793298894463418,0.0004793298894463418
0,13,12,4,0.00016818542143731338,0.00016818542143731338
0,13,14,4,-0.0030816626319845296,0.0030816626319845296
0,13,15,4,-0.00014948544613137965,0.00014948544613137965
0,13,17,4,-0.0001148680975215921,0.0001148680975215921
0,13,18,4,-0.00010280823984164938,0.00010280823984164938
0,13,19,4,-0.0007265564718599987,0.0007265564718599987
0,13,20,4,9.614788261176101e-05,9.614788261176101e-05
0,13,21,4,-0.0005100446098225825,0.0005100446098225825
0,13,22,4,0.00038998262015915025,0.00038998262015915025
0,13,24,4,0.0006447657693560982,0.0006447657693560982
0,13,25,4,-0.00010537486380374043,0.00010537486380374043
0,13,27,4,-0.0002588126865714774,0.0002588126865714774
0,13,28,4,-0.00034224235066468434,0.00034224235066468434
0,13,30,4,0.0005430516301515955,0.0005430516301515955
0,13,34,4,4.156469647336857e-05,4.156469647336857e-05
0,13,35,4,0.00016205052442662057,0.00016205052442662057
0,13,36,4,0.00017124731170771543,0.00017124731170771543
0,13,37,4,6.585465219738178e-05,6.585465219738178e-05
0,13,40,4,0.00022251964861185608,0.00022251964861185608
0,13,43,4,0.0003674052678122805,0.0003674052678122805
0,13,44,4,-0.0006921983567949597,0.0006921983567949597
0,13,45,4,-0.0005771430673469705,0.0005771430673469705
0,13,47,4,0.003170966597072597,0.003170966597072597
