source,target,lag,coefficient,p_value
32,21,1,-0.0672411235175404,1.52988506444596e-05
34,21,1,0.07989965435745386,1.5603221842472683e-07
35,21,1,0.04711768218026069,0.002626263581577013
39,21,1,0.11510468331375986,2.1739935999632124e-11
42,21,1,-0.06336449430363014,0.00011788850290334518
44,21,1,-0.06942717518319563,1.2808383974754251e-05
47,21,1,-0.08983411509584718,1.2676030682162241e-08
54,21,1,-0.04388634092570277,0.004878317634188146
55,21,1,0.1374861892998841,1.9393255270771876e-17
0,22,1,-0.10342023676531584,5.643326504987653e-08
2,22,1,-0.08401138321212176,2.9960924199121585e-06
4,22,1,0.12186366012364076,5.580876277972096e-13
6,22,1,-0.0965479354471085,1.981502371614952e-09
11,22,1,-0.09780600372126412,5.517627287131393e-09
17,22,3,-0.04826823278777478,0.0014349068020499411
18,22,1,0.06663668029349734,3.2097891441425296e-05
21,22,1,-0.06026771875675774,0.0005322311434982515
22,22,1,0.3353689785835709,1.1548564069258462e-82
31,22,1,-0.09060230019967089,6.122276399200004e-09
38,22,1,0.08211070760198858,1.0909817076581453e-06
38,22,2,-0.07040186139967512,1.1305299400024397e-05
40,22,1,-0.05634724309086388,0.0003045889968376051
46,22,2,0.052771691652168,0.000648635613459021
48,22,1,-0.0475720874997625,0.0024505901188381614
50,22,1,0.07120024231040384,3.5029190211644354e-05
54,22,1,0.1026752741157965,1.2559618949415943e-10
55,22,1,-0.0984610430870424,7.12562628547448e-10
58,22,1,-0.06759634553817803,3.984180044758562e-05
2,23,1,0.15901386792656702,3.0069653578590887e-20
4,23,1,-0.04526100149771379,0.007561914687277032
6,23,1,0.1188029856899258,2.2320457450376341e-13
7,23,1,-0.048699131334382216,0.003272620332639258
11,23,1,-0.06303073867155053,0.00015409157265343875
12,23,1,0.09596820406147011,2.0961842229087418e-08
17,23,1,-0.05649627883403677,0.0004384806774399995
19,23,1,-0.0841525823423203,2.1256388899684098e-07
23,23,1,0.3589905331817354,9.404678937863404e-101
27,23,1,-0.04442421980841567,0.00935335158161266
49,23,1,-0.06262031084291282,0.000127821417315113
0,24,1,-0.22749469958732582,8.454390432519199e-33
1,24,2,0.10416232870403347,1.1729179273623062e-11
24,24,1,0.31990052582085987,2.6776377785482646e-63
25,24,1,-0.06441118673185829,1.9580234989556102e-05
29,24,1,0.056483233583949716,0.00024938004860955795
40,24,1,0.09816333588229448,7.7870434587617e-11
45,24,1,0.06331609500417523,2.926123924702721e-05
47,24,1,-0.09622708018680852,1.015034939578329e-09
11,25,1,0.1219109780483068,1.5349420570111802e-13
22,25,1,0.12960415923361157,4.1069034627992255e-15
23,25,1,0.0570710414292416,0.0004264295034996966
24,25,1,-0.057180654580710685,0.0007046457625939866
25,25,1,0.33708595612817677,1.1017414094120768e-90
34,25,2,-0.05790832622679228,0.0003094019371331961
38,25,1,-0.05385531304963107,0.0009201557807019112
39,25,1,-0.05744047737246276,0.00047884987815905014
42,25,2,0.04889232606018044,0.0030555095524465556
47,25,1,-0.047586572453507094,0.003914040243086712
59,25,1,0.07760015443279066,1.7270624481910306e-06
0,26,2,-0.16120934711218626,2.6954274610355726e-18
5,26,1,-0.1018573521452197,9.68679492709972e-10
11,26,2,-0.0648342606430925,8.893997319044252e-05
24,26,1,-0.11023835072357331,3.8319693327625567e-10
26,26,1,0.3335140010624839,2.6861684951971463e-89
27,26,2,0.0436270476333004,0.008126479321380274
37,26,1,0.048993030522726,0.002345593129492149
48,26,1,-0.06239274880453628,0.00011402831497908557
53,26,1,0.0780549491755629,1.5416118005500497e-06
56,26,1,-0.06268302993530518,0.00012198564139351761
3,27,1,0.10838992449395052,7.365447202015428e-11
4,27,1,-0.1841815424155365,2.1183823667073506e-29
5,27,1,-0.11550995567339936,2.5622712182880423e-09
5,27,2,0.062427874933344306,0.0009321208264314439
6,27,1,0.0794461060549141,2.0548251119653596e-05
6,27,2,-0.06184029760044162,0.0007814833993155183
8,27,1,0.06511644608935932,0.0002184910510604612
16,27,3,0.07129956141669708,5.388076486086707e-06
17,27,1,0.0615721683265566,0.0001247229632443865
18,27,1,0.061603169106927806,0.00017412407406201114
19,27,3,0.05195362970837039,0.0008607040964818169
21,27,1,0.07061333053748174,1.8640143300745315e-05
24,27,1,-0.07401809648437667,9.760804612519723e-06
27,27,1,0.3318555509073909,2.5284400467084814e-87
27,27,3,0.10032757633769605,2.5908224009372086e-10
28,27,1,0.10405106959998923,3.779691828449093e-10
39,27,1,-0.05279209715819195,0.0019734146936949276
41,27,1,-0.056357780940969604,0.00036222461015831983
0,28,2,0.15853649561367394,1.019569644931646e-18
2,28,1,0.08255791443602857,6.043191255790178e-06
2,28,2,-0.08759348490390201,6.754951248279656e-07
5,28,3,0.0596936795831075,0.00015561086638558882
6,28,1,0.1737459616293788,1.600559445244663e-27
8,28,1,0.14217784050076757,6.826552183073752e-18
10,28,1,-0.051700931362870725,0.0007760784566857182
14,28,1,0.08139767888119617,1.1702882984114229e-07
20,28,1,0.10488662090850738,3.9636472948066395e-10
20,28,2,-0.06971345307363484,3.0754334625987e-05
