datetime_utc,dst_nT,status
2024-05-23T07:29:30Z,0,10
2024-05-23T08:29:30Z,-8,10
2024-05-23T09:29:30Z,-10,10
2024-05-23T10:29:30Z,-10,10
2024-05-23T11:29:30Z,-14,10
2024-05-23T12:29:30Z,-14,10
2024-05-23T13:29:30Z,-14,10
2024-05-23T14:29:30Z,-16,10
2024-05-23T15:29:30Z,-19,10
2024-05-23T16:29:30Z,-25,10
2024-05-23T17:29:30Z,-28,10
2024-05-23T18:29:30Z,-28,10
2024-05-23T19:29:30Z,-25,10
2024-05-23T20:29:30Z,-20,10
2024-05-23T21:29:30Z,-23,10
2024-05-23T22:29:30Z,-26,10
2024-05-23T23:29:30Z,-15,10
2024-05-24T00:29:30Z,-16,10
2024-05-24T01:29:30Z,-15,10
2024-05-24T02:29:30Z,-12,10
2024-05-24T03:29:30Z,-11,10
2024-05-24T04:29:30Z,-16,10
2024-05-24T05:29:30Z,-25,10
2024-05-24T06:29:30Z,-26,10
2024-05-24T07:29:30Z,-27,10
2024-05-24T08:29:30Z,-21,10
2024-05-24T09:29:30Z,-21,10
2024-05-24T10:29:30Z,-18,10
2024-05-24T11:29:30Z,-20,10
2024-05-24T12:29:30Z,-23,10
2024-05-24T13:29:30Z,-24,10
2024-05-24T14:29:30Z,-23,10
2024-05-24T15:29:30Z,-25,10
2024-05-24T16:29:30Z,-25,10
2024-05-24T17:29:30Z,-27,10
2024-05-24T18:29:30Z,-26,10
2024-05-24T19:29:30Z,-25,10
2024-05-24T20:29:30Z,-23,10
2024-05-24T21:29:30Z,-19,10
2024-05-24T22:29:30Z,-11,10
2024-05-24T23:29:30Z,-4,10
2024-05-25T00:29:30Z,-1,10
2024-05-25T01:29:30Z,-3,10
2024-05-25T02:29:30Z,-6,10
2024-05-25T03:29:30Z,-11,10
2024-05-25T04:29:30Z,-11,10
2024-05-25T05:29:30Z,-10,10
2024-05-25T06:29:30Z,-8,10
2024-05-25T07:29:30Z,-8,10
2024-05-25T08:29:30Z,-9,10
2024-05-25T09:29:30Z,-8,10
2024-05-25T10:29:30Z,-8,10
2024-05-25T11:29:30Z,-6,10
2024-05-25T12:29:30Z,-5,10
2024-05-25T13:29:30Z,-2,10
2024-05-25T14:29:30Z,-2,10
2024-05-25T15:29:30Z,-2,10
2024-05-25T16:29:30Z,-3,10
2024-05-25T17:29:30Z,-9,10
2024-05-25T18:29:30Z,-14,10
2024-05-25T19:29:30Z,-13,10
2024-05-25T20:29:30Z,-10,10
2024-05-25T21:29:30Z,-9,10
2024-05-25T22:29:30Z,-15,10
2024-05-25T23:29:30Z,-20,10
2024-05-26T00:29:30Z,-19,10
2024-05-26T01:29:30Z,-17,10
2024-05-26T02:29:30Z,-14,10
2024-05-26T03:29:30Z,-12,10
2024-05-26T04:29:30Z,-13,10
2024-05-26T05:29:30Z,-12,10
2024-05-26T06:29:30Z,-11,10
2024-05-26T07:29:30Z,-11,10
2024-05-26T08:29:30Z,-12,10
2024-05-26T09:29:30Z,-11,10
2024-05-26T10:29:30Z,-7,10
2024-05-26T11:29:30Z,-8,10
2024-05-26T12:29:30Z,-10,10
2024-05-26T13:29:30Z,-11,10
2024-05-26T14:29:30Z,-17,10
2024-05-26T15:29:30Z,-18,10
2024-05-26T16:29:30Z,-22,10
2024-05-26T17:29:30Z,-21,10
2024-05-26T18:29:30Z,-22,10
2024-05-26T19:29:30Z,-27,10
2024-05-26T20:29:30Z,-27,10
2024-05-26T21:29:30Z,-17,10
2024-05-26T22:29:30Z,-11,10
2024-05-26T23:29:30Z,-6,10
2024-05-27T00:29:30Z,-5,10
2024-05-27T01:29:30Z,-1,10
2024-05-27T02:29:30Z,0,10
2024-05-27T03:29:30Z,-1,10
2024-05-27T04:29:30Z,0,10
2024-05-27T05:29:30Z,0,10
2024-05-27T06:29:30Z,-2,10
2024-05-27T07:29:30Z,2,10
2024-05-27T08:29:30Z,-1,10
2024-05-27T09:29:30Z,-9,10
2024-05-27T10:29:30Z,-10,10
2024-05-27T11:29:30Z,-12,10
2024-05-27T12:29:30Z,-4,10
2024-05-27T13:29:30Z,-4,10
2024-05-27T14:29:30Z,-10,10
2024-05-27T15:29:30Z,-12,10
2024-05-27T16:29:30Z,-12,10
2024-05-27T17:29:30Z,-10,10
2024-05-27T18:29:30Z,-9,10
2024-05-27T19:29:30Z,-10,10
2024-05-27T20:29:30Z,-7,10
2024-05-27T21:29:30Z,-5,10
2024-05-27T22:29:30Z,-6,10
2024-05-27T23:29:30Z,-7,10
2024-05-28T00:29:30Z,-5,10
2024-05-28T01:29:30Z,-6,10
2024-05-28T02:29:30Z,-8,10
2024-05-28T03:29:30Z,-8,10
2024-05-28T04:29:30Z,-4,10
2024-05-28T05:29:30Z,2,10
2024-05-28T06:29:30Z,4,10
2024-05-28T07:29:30Z,4,10
2024-05-28T08:29:30Z,8,10
2024-05-28T09:29:30Z,9,10
2024-05-28T10:29:30Z,7,10
2024-05-28T11:29:30Z,6,10
2024-05-28T12:29:30Z,3,10
2024-05-28T13:29:30Z,0,10
2024-05-28T14:29:30Z,1,10
2024-05-28T15:29:30Z,5,10
2024-05-28T16:29:30Z,8,10
2024-05-28T17:29:30Z,10,10
2024-05-28T18:29:30Z,11,10
2024-05-28T19:29:30Z,10,10
2024-05-28T20:29:30Z,8,10
2024-05-28T21:29:30Z,7,10
2024-05-28T22:29:30Z,8,10
2024-05-28T23:29:30Z,10,10
2024-05-29T00:29:30Z,10,10
2024-05-29T01:29:30Z,14,10
2024-05-29T02:29:30Z,15,10
2024-05-29T03:29:30Z,13,10
2024-05-29T04:29:30Z,16,10
2024-05-29T05:29:30Z,18,10
2024-05-29T06:29:30Z,16,10
2024-05-29T07:29:30Z,18,10
2024-05-29T08:29:30Z,22,10
2024-05-29T09:29:30Z,24,10
2024-05-29T10:29:30Z,23,10
2024-05-29T11:29:30Z,16,10
2024-05-29T12:29:30Z,15,10
2024-05-29T13:29:30Z,15,10
2024-05-29T14:29:30Z,17,10
2024-05-29T15:29:30Z,21,10
2024-05-29T16:29:30Z,27,10
2024-05-29T17:29:30Z,25,10
2024-05-29T18:29:30Z,19,10
2024-05-29T19:29:30Z,11,10
2024-05-29T20:29:30Z,12,10
2024-05-29T21:29:30Z,7,10
2024-05-29T22:29:30Z,4,10
2024-05-29T23:29:30Z,2,10
2024-05-30T00:29:30Z,1,10
2024-05-30T01:29:30Z,1,10
2024-05-30T02:29:30Z,4,10
2024-05-30T03:29:30Z,5,10
2024-05-30T04:29:30Z,10,10
2024-05-30T05:29:30Z,11,10
2024-05-30T06:29:30Z,11,10
2024-05-30T07:29:30Z,14,10
2024-05-30T08:29:30Z,16,10
2024-05-30T09:29:30Z,17,10
