dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,-3.0,20765582,9,0.05,4096,1,1,identity,3.1163656579629286,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766429,0,0.05,4096,1,1,variance_matched,3.168347892145783,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766429,0,0.05,4096,1,1,identity,3.1445063223894527,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766446,1,0.05,4096,1,1,variance_matched,3.1468906292777072,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766446,1,0.05,4096,1,1,identity,3.1478696011956773,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766463,2,0.05,4096,1,1,variance_matched,3.145039714008287,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766463,2,0.05,4096,1,1,identity,3.1359219936046667,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766480,3,0.05,4096,1,1,variance_matched,3.1451359051821166,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766480,3,0.05,4096,1,1,identity,3.1354123562071154,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766497,4,0.05,4096,1,1,variance_matched,3.130409434439431,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766497,4,0.05,4096,1,1,identity,3.1725330529156732,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766514,5,0.05,4096,1,1,variance_matched,3.1369739641498873,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766514,5,0.05,4096,1,1,identity,3.1594137614386293,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766531,6,0.05,4096,1,1,variance_matched,3.1301405218906346,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766531,6,0.05,4096,1,1,identity,3.1415190699360274,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766548,7,0.05,4096,1,1,variance_matched,3.1444404825575187,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766548,7,0.05,4096,1,1,identity,3.152260338795581,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766565,8,0.05,4096,1,1,variance_matched,3.1553156754853515,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766565,8,0.05,4096,1,1,identity,3.1278444464874346,"{""projection"": [[1.0]]}"
identity,x,4.0,-2.0,20766582,9,0.05,4096,1,1,variance_matched,3.120753990357436,"{""direction"": [1.0]}"
identity,x,4.0,-2.0,20766582,9,0.05,4096,1,1,identity,3.160358457418348,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767429,0,0.05,4096,1,1,variance_matched,3.1344578180622706,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767429,0,0.05,4096,1,1,identity,3.1372702773700687,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767446,1,0.05,4096,1,1,variance_matched,3.1509600601050414,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767446,1,0.05,4096,1,1,identity,3.123716045494361,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767463,2,0.05,4096,1,1,variance_matched,3.131942919814886,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767463,2,0.05,4096,1,1,identity,3.1477778952421236,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767480,3,0.05,4096,1,1,variance_matched,3.151302097237671,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767480,3,0.05,4096,1,1,identity,3.1357795592795674,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767497,4,0.05,4096,1,1,variance_matched,3.1321798350039343,"{""direction"": [1.0]}"
identity,x,4.0,-1.0,20767497,4,0.05,4096,1,1,identity,3.1134271593066956,"{""projection"": [[1.0]]}"
identity,x,4.0,-1.0,20767514,5,0.05,4096,1,1,variance_matched,3.144797569214998,"{""direction"": [1.0]}"
