dynamics,label,noise_mode,baseline,raw_slope_log_l,corrected_slope_log_l,slope_abs_reduction,raw_cv_l,corrected_cv_l,cv_reduction,corrected_range_l
tanh,tanh,fixed,variance_matched,0.0476862372275422,-0.4668132475625824,-0.4191270103350402,0.2549411510316609,1.102655537294341,-0.8477143862626801,1.5333341411884605
tanh,tanh,fixed,gain_matched,0.0476862372275422,-0.44157142579421144,-0.3938851885666692,0.2549411510316609,1.11079057381716,-0.8558494227854991,1.4395137903535935
tanh,tanh,fixed,shuffled_target,0.0476862372275422,0.04768072504503202,5.512182510179764e-06,0.2549411510316609,0.25493454251076475,6.608520896123071e-06,1.4122941923433963
tanh,tanh,fixed,null,0.0476862372275422,0.04797180301886626,-0.00028556579132406334,0.2549411510316609,0.25520652949478767,-0.00026537846312679747,1.414008339156189
linear_gain,gain=0.5,scaled_with_l,analytic_volume,-0.0008567352001783754,-1.000856735200178,-0.9999999999999997,0.0048388721981064385,9.474102184556559,-9.469263312358452,3.4726212820581477
linear_gain,gain=0.5,scaled_with_l,gain_matched,-0.0008567352001783754,-0.005489707469511972,-0.004632972269333596,0.0048388721981064385,1.5792682289059556,-1.5744293567078491,0.02761770873844489
linear_gain,gain=0.5,scaled_with_l,shuffled_target,-0.0008567352001783754,-0.0007956050902900628,6.11301098883126e-05,0.0048388721981064385,0.004940583161247192,-0.00010171096314075343,0.018286468623450514
linear_gain,gain=0.5,scaled_with_l,null,-0.0008567352001783754,-0.0005729184572331222,0.00028381674294525316,0.0048388721981064385,0.004583057499750775,0.00025581469835566327,0.017566007315031662
linear_gain,gain=0.5,scaled_with_l,variance_matched,-0.0008567352001783754,0.0005351459511214641,0.0003215892490569112,0.0048388721981064385,3.2187190679945656,-3.213880195796459,0.019662943795344435
linear_gain,gain=0.5,scaled_with_l,identity,-0.0008567352001783754,0.0023968711657496406,-0.0015401359655712653,0.0048388721981064385,0.006243146652133526,-0.0014042744540270873,0.012472393013881256
linear_gain,gain=2.0,scaled_with_l,analytic_volume,0.0003665934877792247,-0.9996334065122205,-0.9992668130244413,0.0011018201789704017,1.0021629044240452,-1.001061084245075,3.4678151503466967
linear_gain,gain=2.0,scaled_with_l,gain_matched,0.0003665934877792247,-0.002009870108988125,-0.0016432766212089002,0.0011018201789704017,2.8730444614770616,-2.8719426412980913,0.00980351570767075
linear_gain,gain=2.0,scaled_with_l,identity,0.0003665934877792247,-0.000774295422716359,-0.00040770193493713434,0.0011018201789704017,0.005070941024745687,-0.003969120845775285,0.012203248803852706
linear_gain,gain=2.0,scaled_with_l,null,0.0003665934877792247,0.00020452481940891177,0.00016206866837031292,0.0011018201789704017,0.0010712574128650782,3.056276610532353e-05,0.00893346189833677
linear_gain,gain=2.0,scaled_with_l,shuffled_target,0.0003665934877792247,0.0004031295455645347,-3.653605778531e-05,0.0011018201789704017,0.0010534064570185948,4.84137219518069e-05,0.008802757412698536
linear_gain,gain=2.0,scaled_with_l,variance_matched,0.0003665934877792247,0.002356963990988971,-0.0019903705032097464,0.0011018201789704017,8.867878712356017,-8.866776892177047,0.017813939209223494
identity,identity,scaled_with_l,analytic_volume,-0.001471262859862271,-1.0014712628598619,-0.9999999999999996,0.0021051431239005316,2.3082092536251184,-2.306104110501218,3.467575964854517
identity,identity,scaled_with_l,identity,-0.001471262859862271,-0.0038343603621146206,-0.0023630975022523497,0.0021051431239005316,1.5451761116318297,-1.5430709685079291,0.01363076370511882
identity,identity,scaled_with_l,null,-0.001471262859862271,-0.0015122585637432522,-4.099570388098111e-05,0.0021051431239005316,0.0019910282928235013,0.00011411483107703034,0.011900390938878402
identity,identity,scaled_with_l,shuffled_target,-0.001471262859862271,-0.0012652532105604081,0.00020600964930186298,0.0021051431239005316,0.0021295122117443144,-2.436908784378281e-05,0.012303856608092412
identity,identity,scaled_with_l,variance_matched,-0.001471262859862271,-0.0003219147832700531,0.001149348076592218,0.0021051431239005316,6.966504304917861,-6.964399161793961,0.013924919304350424
identity,identity,scaled_with_l,gain_matched,-0.001471262859862271,0.0014561954853198294,1.5067374542441668e-05,0.0021051431239005316,2.4434809608084236,-2.441375817684523,0.010740231492150643
product,product,scaled_with_l,analytic_volume,0.893283016136207,-1.1067169838637931,-0.21343396772758616,0.583665256270338,2.095359121655455,-1.5116938653851166,3.923088385245795
product,product,scaled_with_l,variance_matched,0.893283016136207,-0.001616928382492781,0.8916660877537141,0.583665256270338,3.503278144113097,-2.9196128878427587,0.01850763361802994
product,product,scaled_with_l,gain_matched,0.893283016136207,0.8896018869911099,0.003681129145097106,0.583665256270338,0.5864189856643341,-0.002753729393996096,2.9938235307742316
product,product,scaled_with_l,null,0.893283016136207,0.8926792434515864,0.0006037726846205294,0.583665256270338,0.5831211017156805,0.0005441545546575055,3.0062012178103887
product,product,scaled_with_l,shuffled_target,0.893283016136207,0.8932205817776958,6.24343585111653e-05,0.583665256270338,0.583671214771696,-5.958501357983259e-06,3.007024982024204
product,product,scaled_with_l,identity,0.893283016136207,0.8959081053323408,-0.0026250891961338008,0.583665256270338,13.011759824053321,-12.428094567782983,3.0291636051921467
tanh,tanh,scaled_with_l,analytic_volume,-0.41807684316386085,-1.4180768431638606,-0.9999999999999998,0.4520254631077428,21.340047458307765,-20.888021995200024,4.821276680543967
tanh,tanh,scaled_with_l,shuffled_target,-0.41807684316386085,-0.4181160134636824,-3.917029982153375e-05,0.4520254631077428,0.4520397573176773,-1.4294209934540003e-05,1.3556491260481827
tanh,tanh,scaled_with_l,null,-0.41807684316386085,-0.4177913391213648,0.0002855040424960542,0.4520254631077428,0.45191698324936885,0.00010847985837392216,1.3538211092677594
tanh,tanh,scaled_with_l,identity,-0.41807684316386085,-0.41622157085172695,0.0018552723121338932,0.4520254631077428,0.8687633618167984,-0.4167378987090556,1.3455860072907961
tanh,tanh,scaled_with_l,variance_matched,-0.41807684316386085,-0.009529075090627974,0.4085477680732329,0.4520254631077428,0.7657864813292008,-0.313761018221458,0.05070528854062404
tanh,tanh,scaled_with_l,gain_matched,-0.41807684316386085,0.004552831709538725,0.4135240114543221,0.4520254631077428,2.7748731639737305,-2.322847700865988,0.022149354729264565
