L,alpha,repeat,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
10.0,0.5,3,0.05,1.4310643002596057,0.0007565539366092703,1.4299258694715,0.0003818768514964452
10.0,1.0,0,0.05,0.0,-2.3083736981620945e-05,0.0,2.3083736981620945e-05
10.0,1.0,1,0.05,0.000319455879426248,4.804431452407962e-05,9.987298827977759e-05,0.00017153857662239076
10.0,1.0,2,0.05,0.0,0.0,0.0,0.0
10.0,1.0,3,0.05,0.00043354490469936995,-0.00012183710677865907,0.0,0.000555382011478029
12.0,0.0,0,0.05,4.265354339466747,-0.0001232328614566569,4.265477572328203,0.0
12.0,0.0,1,0.05,4.266358877349494,-0.00031653594742486746,4.266675413296919,0.0
12.0,0.0,2,0.05,4.257466703309599,-0.00014194772459141802,4.25760865103419,0.0
12.0,0.0,3,0.05,4.245999813060634,0.00042667131564311234,4.245573141744991,0.0
12.0,0.5,0,0.05,1.6085289349201757,-0.00036471928309511625,1.6088936542032708,0.0
12.0,0.5,1,0.05,1.6147554444433267,-0.00017233389305060243,1.6149277783363774,0.0
12.0,0.5,2,0.05,1.6342225455816224,-0.00025806190119070926,1.634480607482813,0.0
12.0,0.5,3,0.05,1.6203789051881532,1.635449212122886e-05,1.620362550696032,0.0
12.0,1.0,0,0.05,0.0,-0.0003887432076066055,0.0003887432076066055,0.0
12.0,1.0,1,0.05,0.0,0.0,0.0,0.0
12.0,1.0,2,0.05,0.0,-9.33392705649283e-05,0.0,9.33392705649283e-05
12.0,1.0,3,0.05,0.0,0.0,0.0,0.0
