dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.0014409232123975611,{}
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7542516818393188,"{""projection"": [[1.0]]}"
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.8142241434050272,"{""gain_matrix"": [[1.0000000000000009]]}"
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.800862392757245,"{""direction"": [1.0]}"
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,0.0008043651041532345,{}
identity,x,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.0005433492492272164,{}
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7913386337425947,"{""projection"": [[1.0]]}"
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.8034281772744205,"{""gain_matrix"": [[0.9999999999999978]]}"
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7483375112566166,"{""direction"": [1.0]}"
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,8.86836368499237e-05,{}
identity,x,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.00048203369117630476,{}
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.418402014202109,"{""projection"": [[1.0]]}"
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.441876134887309,"{""gain_matrix"": [[1.0000000000000004]]}"
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.4410548510117414,"{""direction"": [1.0]}"
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.0007090042233493573,{}
identity,x,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.0005499443235365456,{}
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.4529810836783406,"{""projection"": [[1.0]]}"
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.45284842861626,"{""gain_matrix"": [[0.9999999999999998]]}"
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.444810332526126,"{""direction"": [1.0]}"
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.00045283736776876,{}
identity,x,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,null,-0.0003091494764566904,{}
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.4493706257433656,"{""projection"": [[1.0]]}"
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.444113177920174,"{""gain_matrix"": [[0.9999999999999978]]}"
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,variance_matched,2.4619349660100784,"{""direction"": [1.0]}"
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,shuffled_target,0.0005904430364263895,{}
identity,x,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,analytic_volume,0.6931471805599453,"{""source_dim"": 1}"
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,null,0.0017231250428624057,{}
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,identity,2.442777414733275,"{""projection"": [[1.0]]}"
identity,x,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,gain_matched,2.4674898439929898,"{""gain_matrix"": [[1.0000000000000009]]}"
