dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,ei_tm
identity,identity,8.0,20264531,6,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7731581927266997
identity,identity,8.0,20264548,7,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7642097859294825
identity,identity,8.0,20264565,8,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7819201776264437
identity,identity,8.0,20264582,9,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.76198347575481
identity,identity,12.0,20265429,0,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7664522197820816
identity,identity,12.0,20265446,1,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7765507850978512
identity,identity,12.0,20265463,2,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7667933235871722
identity,identity,12.0,20265480,3,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7729107024247608
identity,identity,12.0,20265497,4,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7681295512801836
identity,identity,12.0,20265514,5,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7656846149126537
identity,identity,12.0,20265531,6,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7777887519774047
identity,identity,12.0,20265548,7,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7614034712575368
identity,identity,12.0,20265565,8,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.7621790519152036
identity,identity,12.0,20265582,9,scaled_with_l,0.6000000000000001,12288,fixed_density,4.0,1,1,1.773641328159049
identity,identity,16.0,20266429,0,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.773333229524457
identity,identity,16.0,20266446,1,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7729821547258182
identity,identity,16.0,20266463,2,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7591479291366747
identity,identity,16.0,20266480,3,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.760596217647993
identity,identity,16.0,20266497,4,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7627844230557237
identity,identity,16.0,20266514,5,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7678069703433863
identity,identity,16.0,20266531,6,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7751465688575112
identity,identity,16.0,20266548,7,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.761157682603531
identity,identity,16.0,20266565,8,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7683645609483731
identity,identity,16.0,20266582,9,scaled_with_l,0.8,16384,fixed_density,4.0,1,1,1.7605080425057302
linear_gain,gain=0.5,0.5,20360429,0,fixed,0.05,512,fixed_density,4.0,1,1,0.5884131903372853
linear_gain,gain=0.5,0.5,20360446,1,fixed,0.05,512,fixed_density,4.0,1,1,0.5169326795849523
linear_gain,gain=0.5,0.5,20360463,2,fixed,0.05,512,fixed_density,4.0,1,1,0.5918131996365781
linear_gain,gain=0.5,0.5,20360480,3,fixed,0.05,512,fixed_density,4.0,1,1,0.6002444852698353
linear_gain,gain=0.5,0.5,20360497,4,fixed,0.05,512,fixed_density,4.0,1,1,0.5734311730144825
linear_gain,gain=0.5,0.5,20360514,5,fixed,0.05,512,fixed_density,4.0,1,1,0.554372983957027
linear_gain,gain=0.5,0.5,20360531,6,fixed,0.05,512,fixed_density,4.0,1,1,0.6038323205763063
linear_gain,gain=0.5,0.5,20360548,7,fixed,0.05,512,fixed_density,4.0,1,1,0.5778486968942846
linear_gain,gain=0.5,0.5,20360565,8,fixed,0.05,512,fixed_density,4.0,1,1,0.5346695925863864
linear_gain,gain=0.5,0.5,20360582,9,fixed,0.05,512,fixed_density,4.0,1,1,0.5523272881675296
linear_gain,gain=0.5,1.0,20361429,0,fixed,0.05,1024,fixed_density,4.0,1,1,1.109772189483797
linear_gain,gain=0.5,1.0,20361446,1,fixed,0.05,1024,fixed_density,4.0,1,1,1.086819650416536
linear_gain,gain=0.5,1.0,20361463,2,fixed,0.05,1024,fixed_density,4.0,1,1,1.0863863923826116
linear_gain,gain=0.5,1.0,20361480,3,fixed,0.05,1024,fixed_density,4.0,1,1,1.1081573014214938
linear_gain,gain=0.5,1.0,20361497,4,fixed,0.05,1024,fixed_density,4.0,1,1,1.126701653300982
