region_index,region,target_burden,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
42,ctx-rh-lateraloccipital,0.49751891607227544,0.0022489880301096096,0.0037503666804729863,6.952571836285251e-06,0.1515398423489483,0.2542961634089358,43,35,37,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
21,ctx-lh-rostralanteriorcingulate,0.4949950632989808,0.002111375620414634,0.0022416671548573463,3.910657735942136e-06,0.13909924214200697,0.15132082242430306,45,65,55,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
67,ctx-rh-parstriangularis,0.49471454151368377,0.0027288839015113934,0.0022251072909755722,5.0174900481511455e-06,0.177403591610364,0.1507159961975846,34,66,46,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
39,Left-Accumbens-area,0.49021966780446063,0.0008610585268886344,0.004396307776016557,3.14146314386163e-06,0.060037253270512236,0.2987294890632033,65,17,65,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
81,Right-Amygdala,0.4901632605048242,0.0006296934791727862,0.005154793797113562,2.6933148195947084e-06,0.04238747614438362,0.3496793365061051,80,4,73,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
11,ctx-lh-temporalpole,0.4855742585147065,0.0012580236960281486,0.003987182047307297,4.1602456452605176e-06,0.08651430627878902,0.2709138648952055,55,27,53,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
2,ctx-lh-lingual,0.4833981467911693,0.0015577885165826602,0.002801602703405377,3.548201491718925e-06,0.10757825282126822,0.18640866082318988,52,49,59,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
62,ctx-rh-rostralanteriorcingulate,0.4783966599806431,0.0007302287214586488,0.0050230782367995976,3.0259512060698427e-06,0.04853644977785703,0.3403278872946617,75,5,68,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
32,ctx-lh-parsorbitalis,0.47828429323159116,0.00108300277312386,0.005010900697555071,4.488803169273603e-06,0.07467060825722886,0.33908429553259256,58,7,49,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
43,ctx-rh-lingual,0.4760315740195649,0.0023500619511287045,0.00470721414608094,9.312272430699807e-06,0.15684477073041794,0.3255162176733099,40,12,23,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
71,ctx-rh-lateralorbitofrontal,0.47544221292820554,0.002635721055092075,0.002671363881693026,5.716472951995013e-06,0.17787092643050506,0.17794298996421762,36,52,43,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
22,ctx-lh-paracentral,0.4673640199634991,0.002301554896793067,0.0031036850122647328,6.0078040884273805e-06,0.1565769168598071,0.2131582930733747,42,45,41,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
12,ctx-lh-transversetemporal,0.452318504967264,0.002011110757264708,0.004106079916432046,6.866885470655517e-06,0.13602596789997248,0.2790210842659405,48,24,39,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
79,Right-Caudate,0.45101817612955186,0.0004942631982052273,0.004868783105511613,1.9895413918393106e-06,0.03442288275058846,0.32949689279798766,83,8,83,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
3,ctx-lh-pericalcarine,0.45048422697887386,0.0009527179724224692,0.004696265848546433,3.6920985259214997e-06,0.063823553788942,0.3173762474886197,62,13,58,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
34,Left-Thalamus-Proper,0.44583315912810517,0.001014294747423711,0.00398002720505726,3.3894500043010976e-06,0.07132623185206856,0.2731566000712561,60,29,62,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
46,ctx-rh-entorhinal,0.44372406792076996,0.0009143981133836906,0.004355431425822762,3.302832492784709e-06,0.06197960335943701,0.2959395299108769,64,18,63,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
38,Left-Caudate,0.4347300607335184,0.0009418365851162699,0.004182924363679988,3.2444455054443683e-06,0.06577519307969866,0.2819715839718408,63,23,64,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
80,Right-Accumbens-area,0.4335881898140618,0.0006644330678459595,0.004770560674759689,2.596975900541635e-06,0.042118970079749914,0.3223217801508604,76,10,76,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
76,Right-Pallidum,0.42765579202765897,0.0007666442722119433,0.004305482437893029,2.7638110495838097e-06,0.051563219169182106,0.29544360092374033,73,20,72,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
52,ctx-rh-temporalpole,0.4256479027818014,0.0006299168059907716,0.004300682695702508,2.2595879248145253e-06,0.044145558899114215,0.2929523316813495,79,21,81,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
5,ctx-lh-entorhinal,0.41893304582284396,0.0015644308677901775,0.003794053566496051,4.904158145564772e-06,0.10262532513289976,0.25814267855363376,51,33,48,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
44,ctx-rh-pericalcarine,0.41428264721834446,0.0008427884125477904,0.0032070752459238583,2.2239232763451555e-06,0.05666258385334007,0.21596135264649235,68,43,82,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
59,ctx-rh-caudalanteriorcingulate,0.41248999146640897,0.0015229000737115679,0.0034886525362524453,4.430721919955225e-06,0.10211403917288969,0.23873701352685556,53,40,51,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
82,Brain-Stem,0.4097249036864625,0.0007836883917565946,0.00475564137176886,3.074641872867085e-06,0.05531859027972676,0.3207183764365682,71,11,66,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
75,Right-Thalamus-Proper,0.4021961784035966,0.000847525298491704,0.005016135735872273,3.4996072405564434e-06,0.05694316088357122,0.33777535881974424,66,6,60,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
77,Right-Putamen,0.39454151606720583,0.0008466302842570497,0.0038272148505327456,2.6913113086592452e-06,0.05715727188699948,0.2601296262139397,67,32,74,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
18,ctx-lh-caudalanteriorcingulate,0.39013607872400297,0.0011110848203890323,0.003793485943366189,3.4470413683973194e-06,0.07606924560882705,0.25486689903271875,56,34,61,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
1,ctx-lh-lateraloccipital,0.38926474520392207,0.0005055866462574123,0.0055287178795777984,2.3159128404932465e-06,0.03571224470264,0.37513643641560757,82,2,80,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
65,ctx-rh-frontalpole,0.3843534400744446,0.0008289465798600222,0.0035437582274148436,2.4628431294222303e-06,0.057082595332859455,0.2427465504510045,69,39,78,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
35,Left-Pallidum,0.34545321363840703,0.0007619794488243947,0.00398103052940737,2.4652011787603895e-06,0.053152050159853845,0.265823599444101,74,28,77,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
